"nch","z","interval_in_tau","sig","zmax"
200,0.5,0.5,FALSE,0.0137806903043993
200,0.5,1,FALSE,0.0136247567739561
200,1,0.01,FALSE,0.0173550280411724
200,1,0.02,TRUE,0.0312487107936264
200,1,0.05,FALSE,0.0256904547867977
200,1,0.1,FALSE,0.014058330570442
200,1,0.2,FALSE,0.0164284415375405
200,1,0.5,FALSE,0.0171923948634937
200,1,1,TRUE,0.0276461875466537
200,10,0.01,FALSE,0.0172037840979295
200,10,0.02,FALSE,0.00624974133939136
200,10,0.05,FALSE,0.00755637988340108
200,10,0.1,FALSE,0.0176003548347451
200,10,0.2,FALSE,0.00991074502010486
200,10,0.5,FALSE,0.00735325915081133
200,10,1,FALSE,0.0145861424473876
500,0.05,0.01,FALSE,0.0214519448475398
500,0.05,0.02,FALSE,0.016279117649342
500,0.05,0.05,FALSE,0.0121039908006749
500,0.05,0.1,FALSE,0.0111739850195768
500,0.05,0.2,FALSE,0.0193662813867462
500,0.05,0.5,FALSE,0.021015825872234
500,0.05,1,FALSE,0.00934305649222603
500,0.1,0.01,TRUE,0.0382952885729039
500,0.1,0.02,FALSE,0.0236234235684669
500,0.1,0.05,TRUE,0.0260378892910084
500,0.1,0.1,FALSE,0.0178105371864392
500,0.1,0.2,FALSE,0.0163438290430298
500,0.1,0.5,FALSE,0.0204508903393934
500,0.1,1,FALSE,0.00730852663820002
500,0.2,0.01,FALSE,0.00324901486188588
500,0.2,0.02,FALSE,0.0142794285222291
500,0.2,0.05,FALSE,0.0188814422884541
500,0.2,0.1,FALSE,0.00798376425625052
500,0.2,0.2,FALSE,0.0200521595039964
500,0.2,0.5,FALSE,0.0152529985876202
500,0.2,1,FALSE,0.0216693857219926
500,0.5,0.01,FALSE,0.0164122072022172
500,0.5,0.02,FALSE,0.0113721828819137
500,0.5,0.05,FALSE,0.0133563336687758
500,0.5,0.1,FALSE,0.013371319861526
500,0.5,0.2,FALSE,0.0112164712715055
500,0.5,0.5,FALSE,0.0162216960581641
500,0.5,1,FALSE,0.0159823454153895
500,1,0.01,FALSE,0.0179717691862819
500,1,0.02,FALSE,0.0238403800388743
500,1,0.05,FALSE,0.012890896313556
500,1,0.1,FALSE,0.00936902323156086
