nch,z,interval,mag,share_soft,share_top2,share_stiff,c_soft,floor
20,0.5,0.1,0.07440104597799659,0.04350481896943724,0.09516226068218646,0.016180400027275735,0.015518427946627502,0.02455808780589689
20,0.5,0.2,0.08908259181608419,0.159837872120644,0.17173336748888707,0.0014023231347383063,0.03561497868610123,0.02424342763461196
20,0.5,0.5,0.08203733648500429,0.0037278211457017593,0.6484767561194589,0.009930896174674212,0.005008862217451408,0.024265166668209236
20,0.5,1,0.06916551257817709,0.06022141387643857,0.7265612002604698,0.028919720981897008,-0.0169732525639371,0.024425937149050295
20,1,0.01,0.07055256638445305,0.008512867830940365,0.020555262668891554,0.02477349480649464,0.0065095469155717536,0.02453898453308815
20,1,0.02,0.06083489215816178,0.011740182165906077,0.05939694198718271,2.485624962527469e-6,-0.006591589607570803,0.02460351094561217
20,1,0.05,0.0485476978520797,0.28109282175742173,0.30148854344650056,0.13164230710749417,0.025739109528124127,0.02448269464566986
20,1,0.1,0.04425932655203438,0.03673405468804734,0.20251698373060115,0.06268918564583685,0.008482800153034693,0.02457370760056576
20,1,0.2,0.05447707626891124,0.029445008029045795,0.10223699048589775,0.014969614822456142,0.00934801993589764,0.024390526527972238
20,1,0.5,0.06577924028324554,0.020094346909947915,0.644756858657735,0.03222751912171872,0.009324505321298042,0.02440119324283082
20,1,1,0.05747642193031548,0.02095197278865892,0.7651149119606218,0.07734590744029386,-0.00831959499414943,0.024600677469099188
20,10,0.01,0.02782814098145264,0.2790995896032609,0.3420376186433594,0.00863969483171126,-0.014701572631338134,0.024493912170269132
20,10,0.02,0.020559037952550548,0.38557137561953386,0.39544875911673355,0.1432835689312149,0.012766010012258801,0.02443871921166631
20,10,0.05,0.025915901518649025,0.27815458233384893,0.27852456980421286,0.16334886986617175,0.013668140373418701,0.024529353939299947
20,10,0.1,0.014384707054902657,0.2082731068777644,0.21140825967310495,0.27125454755718037,-0.006564741351130113,0.024499704374465307
20,10,0.2,0.02398715931909269,9.551592400662567e-5,0.4035074837237747,9.251025241241759e-4,-2.344319015848598e-4,0.02440005134001137
20,10,0.5,0.03035096830172263,0.4322468024431502,0.5392821769946311,0.0857576406011312,0.01995438952686475,0.0246338151275134
20,10,1,0.020636045497609338,0.09389203074799321,0.45224507247588747,0.3354299376535623,0.00632325713701547,0.024655964534759277
50,0.05,0.01,0.10323374798573577,0.04681415185729611,0.0854496172410477,0.0065732945772578886,-0.022336250668222233,0.025657092104395405
50,0.05,0.02,0.09548061805311821,0.012571952596459806,0.028861338145478855,0.004733098416835724,0.010705737463034127,0.02552863969339497
50,0.05,0.05,0.084437987473057,0.013232243759592123,0.013590434256093128,0.047558413691554106,0.009713027536574255,0.025060578456377162
50,0.05,0.1,0.08406359083360669,0.01218069141652592,0.06578180169284625,1.1429099220173837e-5,0.009277776532400266,0.024900993751881758
