nch,z,anchor,dir,interval,dAI,ebar,aniso,zmax,znrm
10,0.5,pool,1c2ae6f,0.02,0.357032091504652,-0.017530946319541996,0.14469963711716433,0.0018004610970879823,0.002907934571179727
10,0.5,pool,1c2ae6f,0.05,0.3315705951892026,-0.009061264652903123,0.13505950570733774,0.001524225925169934,0.0017423988449450224
10,0.5,pool,1c2ae6f,0.1,0.2938405213684146,-0.00782066946028583,0.11970468855564195,0.0015681694204967473,0.0022208998660274435
10,0.5,pool,1c2ae6f,0.2,0.26091987524910215,-0.012388642603428179,0.1057972199592804,8.707126584614477e-4,0.0012524792039092718
10,0.5,pool,1c2ae6f,0.5,0.19712163669848778,0.012170457497057334,0.07954895708573068,0.0017223829306713826,0.0032534527193486774
10,0.5,pool,1c2ae6f,1,0.4231773630653837,0.04602707293009987,0.1665173324091195,8.314463896541604e-4,0.0014965434378550729
10,0.5,sim,1c2ae6f,0.01,0.29381945666834974,0.008185361672401666,0.11967168437203245,0.12314619572118121,0.12535521138173367
10,0.5,sim,1c2ae6f,0.02,0.3586819956708733,-0.014728202336223739,0.1456887403302556,0.09498404295314397,0.09731697336721666
10,0.5,sim,1c2ae6f,0.05,0.32815273327055566,-0.0026152591682522225,0.13394226297789263,0.094714799294825,0.1021914681068123
10,0.5,sim,1c2ae6f,0.1,0.29066172175098437,-0.004133570836694945,0.11859013312250083,0.08554797630562927,0.09977497277010605
10,0.5,sim,1c2ae6f,0.2,0.2684416950555776,-0.017675154495274084,0.10815611951073384,0.0970813695038432,0.12461997245727324
10,0.5,sim,1c2ae6f,0.5,0.20813126387819594,-0.008332474808700606,0.08455968521790734,0.10864405740846096,0.13031712582308572
10,0.5,sim,1c2ae6f,1,0.3591354839485855,-0.005455527755131828,0.14651491342320902,0.09059750963299852,0.10874567017959813
10,1,pool,1c2ae6f,0.01,0.27898932003041554,-0.01730942993771029,0.11257393311539947,0.002070661296821117,0.003994148724217749
10,1,pool,1c2ae6f,0.02,0.2195026969425216,-0.012085482838222517,0.08879290567799009,0.0013281192877101923,0.0020239508202910127
10,1,pool,1c2ae6f,0.05,0.2543537759861638,-0.011465718981346636,0.10320454373707288,5.272588350513816e-4,7.252705500465143e-4
10,1,pool,1c2ae6f,0.1,0.2408857694463356,-0.012274556382206427,0.09757216604089626,0.001678968120210487,0.0023402513136459484
10,1,pool,1c2ae6f,0.2,0.1807874080187381,-0.009624400024234923,0.07317594372831226,5.021591835024223e-4,9.09496784411156e-4
