interval,mean,q025,q16,q5,q84,q975,nch,z
0.1,0.09610981604654364,0.06683122172070119,0.08159936561444447,0.09645929365201591,0.1098262819109467,0.1235694365620839,20,10
0.05,0.1129485491512822,0.08389389275295095,0.09744494511852944,0.1108421881083314,0.129878874859122,0.1439134072404258,20,10
0.02,0.1338678572963564,0.1037631907935821,0.1165629245008917,0.1348981537520801,0.1464041695305599,0.1737841170839636,20,10
0.01,0.1043479142760132,0.07235410022236619,0.09007311346319372,0.1023314913703707,0.1194183359845554,0.1386459470167363,20,10
1,0.229729829398916,0.1953261062221841,0.2125271238303348,0.2310239602788897,0.2470153064123224,0.2625387079774198,50,0.05
0.5,0.1945763241818713,0.1559922743782119,0.1774947062580597,0.1946965744697872,0.214082335171501,0.227864103354793,50,0.05
0.2,0.3457211951021857,0.3197623563663072,0.331555314290339,0.3456080436928894,0.3578990490754859,0.3865936446986588,50,0.05
0.1,0.4855653425947456,0.4592230045813565,0.4719776558673774,0.4854147767164237,0.4998010047653295,0.5154423254643661,50,0.05
0.05,0.5595593368168292,0.5277088816078779,0.5451004897699018,0.5599182284721218,0.5751821104008454,0.5909346608503923,50,0.05
0.02,0.5658556099419709,0.5382645132323243,0.551536715006156,0.5640074036900183,0.5814128415833879,0.593101470601997,50,0.05
0.01,0.6226520048602301,0.5954140513487307,0.6072589407914476,0.6226150219797059,0.6370689093529504,0.6522103980258523,50,0.05
1,0.1845746323780784,0.1492966711138028,0.1663140723530716,0.1836187356568518,0.2025295862526838,0.2149455761257816,50,0.1
0.5,0.2033733505251546,0.1728478072117677,0.189222551734551,0.2035777380818828,0.2158685528152308,0.2292034690735933,50,0.1
0.2,0.3060274974756505,0.2733710013219685,0.292186060630615,0.3059268017376469,0.3195184424976083,0.3357410361978898,50,0.1
0.1,0.399787355184007,0.3705944588219019,0.388780157389116,0.3995475031458965,0.4116224611646097,0.4259786854981587,50,0.1
0.05,0.4347623693274946,0.4084135495113733,0.4221710655809509,0.4362488246474313,0.4470736656789402,0.4607499643675244,50,0.1
0.02,0.4583473345297419,0.4317857869297693,0.4458358125237146,0.4581321499291933,0.4735072998000731,0.4861927667424482,50,0.1
0.01,0.499087366333173,0.4741335057120533,0.4856279452924465,0.4989795258660675,0.5126882054525116,0.5343623177723869,50,0.1
1,0.2217857914934774,0.1931831116707881,0.2045204045653036,0.2195598291364835,0.2397246926423419,0.2603227687661726,50,0.2
0.5,0.1417979505953372,0.1158215120780445,0.127836723581851,0.1421305617914791,0.1563071792479327,0.170095796794646,50,0.2
0.2,0.2733558017602356,0.2369085041953477,0.2572372463114174,0.2734258670499521,0.2879788487184626,0.2994614115959151,50,0.2
0.1,0.3523387525988937,0.3209356484703983,0.3379637803582531,0.3532281421053005,0.3665551209533638,0.3800911899535552,50,0.2
0.05,0.3374807161320492,0.3052488921808255,0.3238043117202565,0.3374892161873134,0.3518230899352967,0.365029406822324,50,0.2
0.02,0.3575712438415761,0.3290040186765039,0.3446940573803019,0.3585655112048088,0.3717816636218456,0.3845997034989908,50,0.2
0.01,0.3716519412738494,0.3450603516677427,0.3570888338489528,0.372052555230471,0.3868113691610918,0.3985498627856586,50,0.2
1,0.18406253793651,0.1466526776393714,0.1632484715409496,0.1826435716582537,0.2057964979178533,0.23006302642891,50,0.5
