interval,tau_int,r2m,r2v,r1m,r1v,r1v_step,nch,z,n,kurt,acf1,r2bar
1,0.9969989619268764,9.986415220281003,19.62817252592768,-0.03153788008840373,9.955832884754797,9.98570289071374,2000,0.05,10,-0.03718274740723193,-0.002991277257680336,-0.0013584779718996964
0.5,1.005464820553234,19.95735559252295,40.91985790227554,0.0032852123733247,20.13257542463547,19.95553644405309,2000,0.05,20,0.04599289511377691,0.008871672334077374,-0.0021322203738524115
0.2,1.010414900968808,50.02684635545007,101.8256157432087,0.02020443086357858,48.69442649774788,50.02258433882432,2000,0.05,50,0.036512314864173945,-0.02655116401184443,5.369271090014394e-4
0.1,0.9873629235535452,100.0599571996683,200.3301695511877,0.00538168203452058,99.03546427311564,100.049723600905,2000,0.05,100,0.0033016955118769786,-0.010137552521736204,5.995719966831459e-4
0.05,0.9986829832175276,199.7789450358721,409.3070137054079,0.00273750310116828,201.0510474969037,199.7592417074104,2000,0.05,200,0.04653506852703959,0.006466813642521663,-0.0011052748206394902
0.02,1.002140485159134,500.4961544079218,1074.027643902647,-0.2741828938322213,496.6957204874489,500.4430672656461,2000,0.05,500,0.1480552878052941,-0.007488058129513475,9.923088158436677e-4
0.01,1.001820896076963,1000.378372374637,2122.171468747479,-0.5935659057743261,1005.367893807361,1000.278099838366,2000,0.05,1000,0.1221714687474793,0.005088378891647816,3.783723746371148e-4
1,1.018127884273798,9.94857749025504,19.76111661085273,-0.01642544257206808,10.1281184108474,9.947805933472075,2000,0.1,10,-0.02388833891472686,0.018125853940175185,-0.005142250974495943
0.5,1.005310854855467,20.02071031391253,40.45218833046378,-0.03483273789407251,20.38246824604614,20.01980006313016,2000,0.1,20,0.02260941652318893,0.01811547476859654,0.0010355156956265432
0.2,0.9762885235057192,50.08659835325351,102.5494084150476,0.06539180232255995,49.7385469950794,50.08206686786859,2000,0.1,50,0.0509881683009521,-0.006859139294220773,0.0017319670650701724
0.1,1.011619730024603,100.0673138171599,203.258064772934,0.05248539756293231,104.2026511518689,100.0567577152931,2000,0.1,100,0.03258064772934022,0.041435416569990835,6.731381715989748e-4
0.05,0.9947293125983232,200.3011995980298,404.0791399236125,-0.01753119201666058,198.547585099342,200.2807921657896,2000,0.1,200,0.020395699618062313,-0.008653885615815149,0.001505997990149055
0.02,0.9997808074007676,499.8843832698372,1069.574884803251,0.1255887929751278,504.7390074796817,499.8388875248394,2000,0.1,500,0.13914976960650227,0.00980339880937886,-2.3123346032560832e-4
0.01,0.9952639951822584,1000.045128689161,2074.738025417284,0.2442131628210965,985.4892868588828,999.9430388063872,2000,0.1,1000,0.0747380254172838,-0.01445457529736649,4.5128689160955915e-5
1,0.9926501528031016,10.038415060687,20.17449276502409,-0.00952439317186723,9.963598886672235,10.03738216897493,2000,0.2,10,0.017449276502409017,-0.007350849161722128,0.00384150606870004
0.5,0.9960301618435478,19.95619643278072,40.82066017417983,0.04479833199157447,19.73098179335099,19.95368912705612,2000,0.2,20,0.0410330087089914,-0.011161210956381562,-0.0021901783609639125
0.2,0.9985403060705592,50.09818747253497,100.5306079607681,0.0754070420616071,50.98928164492269,50.09472018798016,2000,0.2,50,0.01061215921536185,0.017857400013129077,0.001963749450699437
0.1,0.9954787352896762,99.98175213360446,207.9944573059116,0.1029322535418599,98.74126075529006,99.97202048394702,2000,0.2,100,0.07994457305911595,-0.012311041856502114,-1.824786639553766e-4
0.05,1.003760647661497,200.4667606389455,404.1441882448817,0.1047977260459423,205.7237293692158,200.4436892460315,2000,0.2,200,0.020720941224408485,0.02634176283147216,0.002333803194727535
0.02,0.9998320551274013,500.2081550827129,1028.084701802227,-0.1249866097518296,502.7235679310034,500.1581339240805,2000,0.2,500,0.056169403604453993,0.00512924579831453,4.163101654257595e-4
0.01,1.004203079002794,1000.158287404005,2024.247796905829,-0.5378632543293734,991.5060447292376,1000.065770017687,2000,0.2,1000,0.024247796905829233,-0.00855916235219012,1.582874040049198e-4
1,0.9955703037215324,10.05616936662773,19.82091044196245,0.04751745924891718,10.01048946376189,10.05504441733306,2000,0.5,10,-0.017908955803755067,-0.004431104600031821,0.0056169366627729644
0.5,0.9983798706348352,19.93133240077017,39.44695557552244,-0.02872969805729515,19.80159313138187,19.9299814411327,2000,0.5,20,-0.027652221223878115,-0.0064419683545642314,-0.0034333799614915117
