interval,p,J,smean,Jstep,G,param,nch,z
0.05,5,323.8516144843146,-0.1760132901710103,306.9047620829379,289.8951834363318,N_ch,10,0.1
0.02,0,111.9620756977652,-0.08910098040523068,96.70716367020636,91.1651742101329,k_on,10,0.1
0.02,1,132.0618267593572,0.4475375943604354,99.19570980602012,94.30113484059592,k_off,10,0.1
0.02,2,672.7493396356716,0.5366845081226401,597.5369417655464,569.1130243882548,i,10,0.1
0.02,3,1084.143580815453,-1.003874065869004,1083.150945943412,1066.168480280285,S,10,0.1
0.02,4,1590.144337571031,6.640301050734226,1578.173686434379,1581.942808727282,baseline,10,0.1
0.02,5,341.7702336545101,0.1563360920884805,310.8312397166297,303.2218427769727,N_ch,10,0.1
0.01,0,108.9958602326799,-0.2736192781430889,94.2235722784104,91.5879882414588,k_on,10,0.1
0.01,1,131.8403801131676,0.3824881971348442,97.31270100788016,94.904916583358,k_off,10,0.1
0.01,2,663.8975809577663,-0.1289413996449072,589.2374840019326,577.4555411337083,i,10,0.1
0.01,3,2353.122439650448,-2.29844361395083,2370.74552856949,2362.961766628607,S,10,0.1
0.01,4,1601.258908231516,7.768327952177637,1582.000753119782,1586.866368471372,baseline,10,0.1
0.01,5,331.4136660680499,-0.22461341935089,308.6426261919928,307.1464063175633,N_ch,10,0.1
1,0,69.70708031071918,0.03262176943031302,69.86297063208134,68.70695625101989,k_on,10,0.2
1,1,82.42898733172233,0.5552473039300733,75.40402107849911,73.5290746506522,k_off,10,0.2
1,2,262.949139156897,-0.2316580699038073,264.8060324627462,259.9518048153462,i,10,0.2
1,3,5.74455924153337,-0.2443416540131637,5.754765961426704,6.147721951590748,S,10,0.2
1,4,602.1389071640415,0.3005707931152557,606.4389168162676,645.2514605220769,baseline,10,0.2
1,5,220.3145244021829,0.05024044473402231,221.9401158253382,217.59326510049,N_ch,10,0.2
0.5,0,75.27968696469658,-0.04476173967963338,73.7936244716745,71.28048276638555,k_on,10,0.2
0.5,1,73.18018570339821,0.4462055480839941,71.30584646497007,70.72705839119108,k_off,10,0.2
0.5,2,309.2720620474818,-0.3951395822589323,307.6295051505494,301.1290023935412,i,10,0.2
0.5,3,13.742777600962791,-0.5095921342252068,14.17629190754146,15.57837720380598,S,10,0.2
0.5,4,687.1170255641778,1.15367717028822,693.3950005684306,719.9213836875855,baseline,10,0.2
0.5,5,235.9785072822972,-0.1662275075992263,232.9107527718988,228.3600578306616,N_ch,10,0.2
0.2,0,83.55978454560244,-0.1191812100349432,82.77348766408726,76.89227129121984,k_on,10,0.2
0.2,1,82.62633122688487,0.3593404200839412,79.77634217062436,75.55573372673636,k_off,10,0.2
0.2,2,402.6714538924012,-0.1588567020768452,399.8500089808921,376.9382328747722,i,10,0.2
0.2,3,50.56066823086268,-0.8685548704719726,51.92079648548398,54.73303970614361,S,10,0.2
0.2,4,766.2292917978864,2.324876020435962,756.9764986238464,774.4762808824587,baseline,10,0.2
0.2,5,259.8140250390108,-0.1916534822783138,257.9937533490195,247.606503238764,N_ch,10,0.2
0.1,0,90.92402014765788,-0.1160500628932701,86.29731815452733,80.31605305168044,k_on,10,0.2
0.1,1,93.106609350667,0.4091558702219993,85.02139315070617,79.76449207447313,k_off,10,0.2
0.1,2,459.8829983551311,0.03132948753764764,448.4370147890654,421.9541141625633,i,10,0.2
0.1,3,143.3968117838773,-0.8485115967346366,145.4318203271195,145.2329127564172,S,10,0.2
0.1,4,775.1008344185695,2.958329075947133,787.0498458552009,793.8948566245745,baseline,10,0.2
0.1,5,277.1482821160296,-0.0990069542583677,269.3497424496265,259.4307676222828,N_ch,10,0.2
0.05,0,91.58960519388825,-0.2537880505280465,86.49065907958853,82.2200025642675,k_on,10,0.2
0.05,1,97.67257425965238,0.2841604762402866,85.8261501007997,82.3552628760371,k_off,10,0.2
0.05,2,478.5553777610394,-0.3003486579312101,462.6717412903332,446.3807137785678,i,10,0.2
0.05,3,373.4199999326485,-1.07589766637527,374.7804788089996,371.1543463398257,S,10,0.2
0.05,4,778.3368452952428,3.189751041498137,792.0554276229918,798.4788201664203,baseline,10,0.2
0.05,5,278.3210472467525,-0.3402704897287636,272.5001130863928,266.7149118425383,N_ch,10,0.2
0.02,0,97.11883883785949,-0.02769996211913014,85.46664987551391,83.04048441362173,k_on,10,0.2
0.02,1,105.6049639711873,0.376803691993647,85.68610699487746,83.8603036510818,k_off,10,0.2
0.02,2,527.7303575417906,0.531911132039779,473.7928178108392,462.2380248312846,i,10,0.2
0.02,3,1137.800970211296,-0.8116204659516345,1136.163274647964,1131.337118680345,S,10,0.2
0.02,4,823.8150435287829,4.113845591615908,804.6042496953512,806.8829199653852,baseline,10,0.2
0.02,5,298.608323179619,0.1635366774421373,276.9065524108612,272.3390948575883,N_ch,10,0.2
0.01,0,95.35865215628532,-0.1979331619140023,84.54964688005677,83.34074990527114,k_on,10,0.2
0.01,1,102.6046148295107,0.3661781834388105,84.96963568597839,84.11168838429768,k_off,10,0.2
0.01,2,521.1525101822943,0.00415016019468814,470.699687657226,466.0165077344029,i,10,0.2
0.01,3,2479.302936811121,-0.9191994475472204,2443.086275798038,2440.720513057274,S,10,0.2
0.01,4,802.2415285214406,4.256147183270599,803.2823558452067,805.0825460290736,baseline,10,0.2
0.01,5,292.7998698839295,-0.1918739322329219,275.6339580296139,274.5310780769159,N_ch,10,0.2
1,0,68.62796945572043,0.00570075655850573,68.74420513590513,67.60258802861289,k_on,10,0.5
1,1,79.63503984125114,0.3129907822172773,75.29748477576939,71.85232883309867,k_off,10,0.5
1,2,261.1473506705952,-0.01282286390234987,262.5878264159845,253.2626657408908,i,10,0.5
1,3,6.03143040946292,-0.2506372488865793,6.128340234218717,6.805631632162431,S,10,0.5
1,4,263.8203049338745,0.3526661450614608,264.3631254856531,282.3415989886606,baseline,10,0.5
1,5,219.6977398595539,0.03810066788326553,220.1310946514448,214.1621683005404,N_ch,10,0.5
0.5,0,73.93960908521491,0.05433419596724922,73.3238978106196,69.6014106820026,k_on,10,0.5
0.5,1,71.47674179426984,0.2444405076895588,70.97193025336175,69.42155453592493,k_off,10,0.5
0.5,2,299.4370394909702,0.3586321573216418,304.2619985114765,286.4519255059049,i,10,0.5
0.5,3,16.19087091804412,-0.4169932541714128,16.31819027933413,17.94897012347725,S,10,0.5
0.5,4,300.2433503406907,0.8267064013144616,295.0332387272319,307.2542155482511,baseline,10,0.5
0.5,5,232.0178969261796,0.1944460446349999,233.9359302767657,223.218175374705,N_ch,10,0.5
0.2,0,77.09480086790431,-0.00615709328078236,75.9893260958574,72.72201792487043,k_on,10,0.5
0.2,1,75.21404993522137,0.1637644890223503,73.07055643030517,71.56503106535504,k_off,10,0.5
0.2,2,349.0195694011455,0.1951458119220445,344.0674972411513,330.5437986209823,i,10,0.5
0.2,3,61.86327184460198,-0.6731376899738035,63.50856449097358,65.69370100648507,S,10,0.5
0.2,4,318.9375059114121,1.200237179573139,317.6076447666056,323.8578718987235,baseline,10,0.5
0.2,5,244.7284105430204,0.05906797577254171,241.5316266813187,234.7932386613971,N_ch,10,0.5
0.1,0,78.62019185576156,0.04915907946336019,76.59286553248069,74.12289018144028,k_on,10,0.5
0.1,1,79.5811794770605,0.1294907791569133,74.72346124575752,73.3085311300813,k_off,10,0.5
0.1,2,364.448573005205,0.3584592243022298,358.2144480158495,349.7983191583436,i,10,0.5
0.1,3,173.4537253321568,-0.4178146625327333,172.8041617824619,172.4736483200044,S,10,0.5
0.1,4,328.1995861716849,1.546484792428809,327.4824976949822,329.3430319418231,baseline,10,0.5
0.1,5,247.5117771731559,0.1672430432163566,244.4534902116158,240.2329160269711,N_ch,10,0.5
0.05,0,81.55329255290661,0.1131174817173074,76.57410000668364,74.83411140560564,k_on,10,0.5
0.05,1,81.53921109182347,0.1029294391220181,75.33165094270223,74.41818467070894,k_off,10,0.5
0.05,2,384.0845194205642,0.5173335900600682,365.4131607957451,359.4959594623517,i,10,0.5
0.05,3,433.3928985583976,-0.2984073801423663,419.985852532301,417.4103074921586,S,10,0.5
0.05,4,329.0846935808949,1.706943801591299,331.5754866410903,332.3821610197607,baseline,10,0.5
0.05,5,254.3090111419648,0.2730247663688435,245.382529662859,242.9501087090088,N_ch,10,0.5
0.02,0,81.94810054564864,-0.1764409120327519,76.11912956398034,75.43862563548437,k_on,10,0.5
0.02,1,84.02352129684543,0.22080011664838,75.08988883918236,74.61380636921534,k_off,10,0.5
0.02,2,381.9583427204185,-0.1984073700422927,363.9434234303686,362.3802422348485,i,10,0.5
0.02,3,1185.3914596715,-0.5211379858304072,1194.253201386999,1195.802822746592,S,10,0.5
0.02,4,331.0209245906962,1.798344835001699,333.0671769702017,333.4674988221782,baseline,10,0.5
0.02,5,253.6615835737945,-0.2704902541081717,244.1712739791132,243.55703044088,N_ch,10,0.5
0.01,0,81.97298836395093,-0.03590438133918663,75.5235159274492,75.24270943723113,k_on,10,0.5
0.01,1,82.56827441592414,0.06034252807497979,75.13164783937329,74.96734236337431,k_off,10,0.5
0.01,2,393.4287586218999,0.1637609436094528,366.2414262618515,365.3141758712209,i,10,0.5
0.01,3,2514.545865669693,-0.7226997627727221,2508.010425877036,2514.419049949488,S,10,0.5
0.01,4,341.0462900467201,2.237372724681356,334.7700537420754,335.1744916192009,baseline,10,0.5
0.01,5,258.576394880168,0.06199908144208825,245.5314647185807,245.1200208541628,N_ch,10,0.5
1,0,67.17629045967645,0.06209187605193923,66.0735560296861,65.83338241791348,k_on,10,1
1,1,75.12290890254042,0.1884632946053759,72.4296527822735,69.7310214166688,k_off,10,1
1,2,250.338543778842,0.03314253005406952,249.1804291200107,243.943490692309,i,10,1
1,3,7.179283336803559,-0.1797467234651348,7.131296729843386,7.627987575658936,S,10,1
1,4,147.9723039073301,0.2047212939376973,148.2289390652428,155.0832269544462,baseline,10,1
1,5,214.03516180453,0.0845704880909735,211.4657468891917,208.7710561572374,N_ch,10,1
0.5,0,69.16072003863165,0.06219746317271866,68.17530664336456,67.29642597924304,k_on,10,1
0.5,1,69.87955237097171,-0.01040127705818406,68.6872156358722,67.98193708359558,k_off,10,1
0.5,2,274.022073643156,0.1547826840724972,274.1505478714248,269.0675617575734,i,10,1
0.5,3,19.72462629901455,-0.2948147292275264,19.46838878983589,20.46343727684226,S,10,1
0.5,4,159.2040115173617,0.4956525387510357,159.4401916705666,164.0864382894934,baseline,10,1
0.5,5,220.3122778485102,0.1421274689589919,219.1529581632048,215.9243896945962,N_ch,10,1
0.2,0,70.67297607867738,-6.3247809824509e-4,71.05702423656511,69.18664814318917,k_on,10,1
0.2,1,71.41455733425188,0.1111117644833264,69.17137764738733,68.49951594186189,k_off,10,1
0.2,2,300.1191439226785,0.06840916109958253,300.6067468693931,294.0477087566583,i,10,1
0.2,3,75.07596546614047,-0.2034635113954538,75.78551520160298,75.98276807598053,S,10,1
0.2,4,169.1432966924853,0.5776606104163912,170.256405065886,171.3197424319687,baseline,10,1
0.2,5,225.2428882420727,-0.02297676401227212,226.7015598301093,222.7273746354306,N_ch,10,1
0.1,0,74.00571245120213,0.05997202346382991,70.87984998567697,69.77780228215188,k_on,10,1
0.1,1,73.31554657648235,0.02232685878494983,69.65426945851155,69.24706504237184,k_off,10,1
0.1,2,314.5276147813919,0.220124168556964,307.0027347420107,303.6482897623854,i,10,1
0.1,3,194.9244248629719,-0.3497891092261907,191.857265958646,192.2288386257212,S,10,1
0.1,4,173.0025623072144,0.8284385067218676,172.9467774290805,173.5900498120047,baseline,10,1
0.1,5,233.6048256252266,0.1541290177640993,227.1968475686745,225.4174836454768,N_ch,10,1
0.05,0,74.9542448901036,0.02229917038288314,71.12231918652091,70.2337146838322,k_on,10,1
0.05,1,74.7551964589368,0.1301661950740631,69.97933246325802,69.50567342395252,k_off,10,1
0.05,2,318.8140741364314,0.2238949024115885,309.6009153713331,307.5171591197212,i,10,1
0.05,3,453.3664304129361,-0.0220196414951637,446.7946644719161,445.6751420438761,S,10,1
0.05,4,172.3572920342691,0.6275294378662616,174.7732967299429,174.8580603143459,baseline,10,1
0.05,5,234.480913108425,0.05715595775675679,227.6838750261843,226.2137914013726,N_ch,10,1
0.02,0,74.43554738654089,-0.05433651511192301,70.60536714163256,70.33259352099435,k_on,10,1
0.02,1,72.99274629662247,0.1794440182021905,69.76670585152846,69.66547091598903,k_off,10,1
0.02,2,318.8514595733653,0.07119709816017646,310.657079799461,309.4197813485939,i,10,1
0.02,3,1248.141325021891,-0.2453023193071442,1235.094792812783,1231.763494291668,S,10,1
0.02,4,178.3810872445535,1.048713819735629,175.669108863469,175.7691404777028,baseline,10,1
0.02,5,234.7367042472466,-0.01907427454131383,227.6172591111004,227.0316508917607,N_ch,10,1
0.01,0,72.16743514663996,0.01454074236832576,70.5810149221997,70.32647790148984,k_on,10,1
0.01,1,73.19054629245159,-0.02159779496061167,69.9487911915169,69.93028183662861,k_off,10,1
0.01,2,311.2516213254685,0.00125473087511989,310.3650851885261,309.7111172752712,i,10,1
