nch,z,interval,rank,share,c,mag,sigma,dompar
10,0.2,0.2,3,0.6627610023431643,-0.128104994923392,0.15735755195226964,0.1448872389862055,4
10,0.2,0.2,4,0.055019802075227775,0.03691025982963894,0.15735755195226964,0.11910581540407324,2
10,0.2,0.2,5,0.044402437037616385,-0.03315820361548311,0.15735755195226964,0.03917616195084125,3
10,0.2,0.2,6,0.2356632956329767,0.07638948180007167,0.15735755195226964,0.03498074902888472,5
10,0.2,0.5,1,0.024997368415881183,-0.02492125183532741,0.15762413212615742,0.6429105160146111,6
10,0.2,0.5,2,0.26003221498785284,0.08037783164911423,0.15762413212615742,0.26354254602060856,4
10,0.2,0.5,3,0.602139509449067,0.12231262042257808,0.15762413212615742,0.23413074760353475,1
10,0.2,0.5,4,0.028829777584489576,0.02676352752230855,0.15762413212615742,0.1607695072293155,2
10,0.2,0.5,5,4.248117043647549e-4,-0.003248784805578127,0.15762413212615742,0.04170724534002749,3
10,0.2,0.5,6,0.08357631785834467,-0.04556845720543089,0.15762413212615742,0.036313022318323875,5
10,0.2,1,1,0.18055817773384708,-0.06630744308559476,0.1560463805124072,0.7259014934356919,6
10,0.2,1,2,0.33417251703072354,0.09020675590108591,0.1560463805124072,0.4054078203807606,4
10,0.2,1,3,0.11751779140724773,0.05349405379595683,0.1560463805124072,0.2531812595742085,1
10,0.2,1,4,0.3577212615425216,-0.09333103382358564,0.1560463805124072,0.18846910768700306,2
10,0.2,1,5,3.304571148082577e-4,0.002836685920079099,0.1560463805124072,0.043618546978210174,3
10,0.2,1,6,0.009699795170851826,0.015368623853888385,0.1560463805124072,0.03796389764798005,5
10,0.5,0.01,1,0.0028353639134096093,-0.006759261384186567,0.12693893120444058,0.5628560376125269,6
10,0.5,0.01,2,0.013102171130528495,-0.014530028666170031,0.12693893120444058,0.2559825668844346,1
10,0.5,0.01,3,0.004419591678019596,-0.008438901366615839,0.12693893120444058,0.12948216948205601,2
10,0.5,0.01,4,0.9590397572404564,-0.12431202556809832,0.12693893120444058,0.055785413357696295,5
10,0.5,0.01,5,0.008385481924750993,0.011624086977119913,0.12693893120444058,0.03801083962393213,3
10,0.5,0.01,6,0.012217634112834878,0.014030992575565275,0.12693893120444058,0.01992568964009655,4
10,0.5,0.02,1,0.0011704827562744437,0.0034423055459503237,0.10061596725231631,0.5773158985909824,6
10,0.5,0.02,2,0.005060835998577805,-0.007157774933251357,0.10061596725231631,0.2557639177769948,1
10,0.5,0.02,3,0.0028002798630058405,0.0053243626133712835,0.10061596725231631,0.13055341082330824,2
10,0.5,0.02,4,0.8939785886634388,-0.09513284071804393,0.10061596725231631,0.05596612408241658,5
10,0.5,0.02,5,0.07130466458990738,0.026867414607105688,0.10061596725231631,0.03830560722156341,3
10,0.5,0.02,6,0.025685148128795663,0.016125305226845407,0.10061596725231631,0.028777708722375683,4
10,0.5,0.05,1,0.012368137339933286,0.011752853475956898,0.10567960277933858,0.5880948194122402,6
10,0.5,0.05,2,0.004052875305605153,-0.006727795673372766,0.10567960277933858,0.2545986426136567,1
10,0.5,0.05,3,0.031134155970646525,0.018647032192041096,0.10567960277933858,0.13354912692433207,2
10,0.5,0.05,4,0.9459716819493533,-0.10278511831292336,0.10567960277933858,0.056516496489652054,5
10,0.5,0.05,5,0.003610607857025246,-0.006350111246042683,0.10567960277933858,0.0490674557240721,4
10,0.5,0.05,6,0.0028625415774364378,-0.005654146720684819,0.10567960277933858,0.03783271826766757,3
10,0.5,0.1,1,0.006367523691892802,0.00811629191213896,0.10171204208781656,0.6049532781083083,6
10,0.5,0.1,2,0.005415213179495296,-0.0074847991848464406,0.10171204208781656,0.2535904263572618,1
10,0.5,0.1,3,0.0750899137182571,0.027871681880846728,0.10171204208781656,0.13935182451650477,2
10,0.5,0.1,4,0.20159797897504997,-0.04566836471951426,0.10171204208781656,0.07646320095380553,4
10,0.5,0.1,5,0.7115138065049564,-0.08579540716884586,0.10171204208781656,0.05604512339545296,5
10,0.5,0.1,6,1.5563930348386305e-5,4.012656769482231e-4,0.10171204208781656,0.03834593429994082,3
10,0.5,0.2,1,0.015291935973389927,0.014944726088941202,0.12085280200313332,0.6370941082085027,6
10,0.5,0.2,2,0.012274566024184985,-0.013389359341120243,0.12085280200313332,0.25264762147945263,1
10,0.5,0.2,3,0.3355002606129207,-0.0700008244462503,0.12085280200313332,0.15272277498106224,2
10,0.5,0.2,4,0.3284048579675457,-0.0692566547785669,0.12085280200313332,0.11878714001124141,4
10,0.5,0.2,5,0.30616042173832814,0.06686998839338773,0.12085280200313332,0.05680588778454416,5
10,0.5,0.2,6,0.0023679576836305796,0.005880898618856203,0.12085280200313332,0.039001933822320506,3
10,0.5,0.5,1,0.007399177761502486,0.01138950565805268,0.13240767025243863,0.6869271677161123,6
10,0.5,0.5,2,0.28324102823989666,-0.07046788310894642,0.13240767025243863,0.26232238475785513,1
10,0.5,0.5,3,0.45335054178215695,0.08915182001783013,0.13240767025243863,0.22765606093069876,4
