nch,z,interval,k,loglam,beta,share,mag
5,1,0.05,5,-0.10797739061236462,-0.06860070778101202,0.4130757810767893,0.10673668983705034
5,1,0.05,6,-0.2125434554770557,0.005976614344976813,0.0031353281768455054,0.10673668983705034
5,1,0.1,1,0.1668737047209269,0.021004008327403824,0.05661464739421397,0.08827501060299252
5,1,0.1,2,0.08385789297002408,-0.011686573883467569,0.017526647871239226,0.08827501060299252
5,1,0.1,3,0.0013291486724625776,-0.025699149693481048,0.08475434099434132,0.08827501060299252
5,1,0.1,4,-0.04847821552277955,0.06444873544007808,0.5330319531171471,0.08827501060299252
5,1,0.1,5,-0.12629969796763216,-0.04030834795501102,0.2085040239765105,0.08827501060299252
5,1,0.1,6,-0.13453206837290368,-0.027854701799726416,0.09956838664654792,0.08827501060299252
5,1,0.2,1,0.13789368569624488,-0.0324755000258357,0.09583435797213345,0.10490476803193573
5,1,0.2,2,0.08325741419894844,0.04081545569350459,0.151376633878883,0.10490476803193573
5,1,0.2,3,-0.018482503831956997,-0.061325647357361755,0.3417384356940387,0.10490476803193573
5,1,0.2,4,-0.04839024548958784,-0.04322615511241886,0.16978634507257145,0.10490476803193573
5,1,0.2,5,-0.13233920850757142,-0.05113758314394537,0.23762380272705247,0.10490476803193573
5,1,0.2,6,-0.16190178419642712,0.006329526920034511,0.0036404246553209682,0.10490476803193573
5,1,0.5,1,0.11611769923434268,0.04154574510419232,0.1559630902408685,0.1051999749515148
5,1,0.5,2,0.08068611924921697,-0.007786765844718081,0.005478768595277323,0.1051999749515148
5,1,0.5,3,-0.017857603766917945,0.03364145363322216,0.10226293042244353,0.1051999749515148
5,1,0.5,4,-0.0698244253465885,-0.08665530476285163,0.6785143470566163,0.1051999749515148
5,1,0.5,5,-0.07915716903512121,0.02407707750096311,0.05238129952067971,0.1051999749515148
5,1,0.5,6,-0.14976752162349335,-0.0077302758120287906,0.0053995641641147035,0.1051999749515148
5,1,1,1,0.3108261749821133,-0.027611017263923867,0.0877751863929989,0.09319584004654548
5,1,1,2,0.05140304518244156,0.029075070399225644,0.0973303971012774,0.09319584004654548
5,1,1,3,-0.004669492619112053,-0.03867091504386772,0.17217727995677995,0.09319584004654548
5,1,1,4,-0.047798969481776754,0.07334285804992094,0.6193306948374159,0.09319584004654548
5,1,1,5,-0.10223663439492674,0.010357366607392695,0.012351100137517359,0.09319584004654548
5,1,1,6,-0.17271735895851695,-0.009790151613322414,0.011035341574010359,0.09319584004654548
10,0.05,0.01,1,0.5754488896632807,0.07035509904877789,0.1007133367545627,0.22169305407977938
10,0.05,0.01,2,0.29452052855807664,-0.06997785644271927,0.09963618663127602,0.22169305407977938
10,0.05,0.01,3,0.020251942310359948,0.020831172699105067,0.008829238861584286,0.22169305407977938
10,0.05,0.01,4,-0.021272712453832426,0.19683856090523238,0.7883447681619016,0.22169305407977938
10,0.05,0.01,5,-0.06148781611157733,0.0037720621142288196,2.8950328667380013e-4,0.22169305407977938
10,0.05,0.01,6,-0.393820530318601,-0.010367478231585143,0.002186966304001528,0.22169305407977938
10,0.05,0.02,1,0.5725378908109244,0.05210176503182345,0.05770425685532819,0.21689448525522617
10,0.05,0.02,2,0.3271405173315438,-0.10082306014265684,0.21608405942765585,0.21689448525522617
10,0.05,0.02,3,-0.007709668660384867,-0.11236181037644143,0.2683739981908572,0.21689448525522617
10,0.05,0.02,4,-0.03323288627903458,-0.14609936283122799,0.45373222427778653,0.21689448525522617
10,0.05,0.02,5,-0.0942696658992456,-0.0130377915017958,0.003613358427244158,0.21689448525522617
10,0.05,0.02,6,-0.43898684955912576,0.004811455098190965,4.921028211280835e-4,0.21689448525522617
10,0.05,0.05,1,0.48456420488780877,0.05202058476079346,0.08265572176124544,0.18094174256665219
10,0.05,0.05,2,0.3168093431099002,-0.06604716109785322,0.13323881858793982,0.18094174256665219
10,0.05,0.05,3,-0.009445598248836907,-0.011404085581124792,0.003972312423759391,0.18094174256665219
10,0.05,0.05,4,-0.03867642861581376,-0.01992732076079428,0.012128868458259712,0.18094174256665219
10,0.05,0.05,5,-0.07739126868122166,-0.1548374833354848,0.7322757810840029,0.18094174256665219
10,0.05,0.05,6,-0.4245242007693168,-0.03420157816247986,0.035728497684792665,0.18094174256665219
