nch,z,interval,q,se_q
20,0.2,0.5,0.014195317916485527,0.0030828756515684664
20,0.2,1,0.008000283743511102,0.001975274426050143
20,0.5,0.01,0.003453193758771526,0.0016912525960354728
20,0.5,0.02,0.0066848691867714746,0.003550825874775848
20,0.5,0.05,0.007351348802275332,0.0029509736695747402
20,0.5,0.1,0.00553551564261996,0.0027521508797319788
20,0.5,0.2,0.007935708164671068,0.0019361814004953835
20,0.5,0.5,0.006730124577553816,0.0032483868744079894
20,0.5,1,0.004783868130201972,0.0038026463125574246
20,1,0.01,0.004977664623432654,0.0035785263685123568
20,1,0.02,0.003700884103895173,0.0016813396224165617
20,1,0.05,0.0023568789667368227,0.004127011267501615
20,1,0.1,0.0019588879868396155,0.0024320565355097686
20,1,0.2,0.002967751838808773,0.001943206707788135
20,1,0.5,0.004326908452240951,0.002588022514466446
20,1,1,0.0033035390779116492,0.004281112773175829
20,10,0.01,7.744054304836039e-4,0.00462423658718807
20,10,0.02,4.226740415344139e-4,0.001010792361976991
20,10,0.05,6.716339515243146e-4,0.0032281785541236024
20,10,0.1,2.0691979705536628e-4,0.002292292389820559
20,10,0.2,5.753838121995354e-4,7.271275348439612e-4
20,10,0.5,9.211812768521721e-4,0.003030213102862311
20,10,1,4.258463737794026e-4,0.004485083260933286
50,0.05,0.01,0.010657206723182404,0.0028954350989321
50,0.05,0.02,0.00911654842380544,0.0025674444860030975
50,0.05,0.05,0.007129773728500131,0.0036731912138876794
50,0.05,0.1,0.007066687303840042,0.0018659526571903737
50,0.05,0.2,0.008680206394674766,0.002456229548183801
50,0.05,0.5,0.007444900310190701,0.002812556665018672
50,0.05,1,0.002837915903589405,0.002295322804237819
50,0.1,0.01,0.006938835131923658,0.002470643714496088
50,0.1,0.02,0.006396909045251206,0.0018720795048789577
50,0.1,0.05,0.0060190362781221566,0.0018475206454227186
50,0.1,0.1,0.005454481166082668,0.0017096834135178376
50,0.1,0.2,0.008368463449072603,0.0019266934588642731
50,0.1,0.5,0.0032689445293990174,0.0015119018551007478
50,0.1,1,0.002597098306521399,0.0063034292290032965
50,0.2,0.01,0.007669681889238715,0.002012744861994103
50,0.2,0.02,0.004271854743052313,0.0023385878792999072
50,0.2,0.05,0.003779316558359966,0.002157675816810624
50,0.2,0.1,0.0031748197588072455,0.0019888166568127683
50,0.2,0.2,0.0035244038765970378,0.0012891786520431692
50,0.2,0.5,0.002468209066672846,0.001090110714623473
50,0.2,1,9.827559827646473e-4,0.0016407136983614594
50,0.5,0.01,0.0025323494093400702,0.00208144079601445
50,0.5,0.02,0.0025262894373070965,0.001203432874767559
50,0.5,0.05,0.0014951996976059721,0.0021021503977062582
50,0.5,0.1,0.003655973328925041,0.0015311459730119592
50,0.5,0.2,0.0044558236257129895,0.0025457192035704
50,0.5,0.5,0.0022936039458055983,0.0016444054249449827
50,0.5,1,0.0025510470266372565,9.93975517985163e-4
50,1,0.01,5.078281262457287e-4,0.0013979152009816812
50,1,0.02,0.002256633403245228,0.002441159707657092
50,1,0.05,3.515905198315626e-4,0.001085331241056172
50,1,0.1,4.385569681073144e-4,0.001180334339536646
50,1,0.2,0.002422295108910089,0.0013714172249436488
50,1,0.5,0.0014433838858551279,0.003996614381942244
50,1,1,7.872145154837668e-4,0.0032509032373007835
50,10,0.01,0.0014295477119125586,0.0011441870438274417
50,10,0.02,7.795334461962371e-4,0.005263898486062006
50,10,0.05,7.612502098400392e-4,5.017430357115513e-4
50,10,0.1,7.438613869076138e-4,0.007710534790710069
50,10,0.2,2.3142345751524354e-4,8.429490499333868e-4
50,10,0.5,4.482642147709979e-4,8.680882913189718e-4
50,10,1,3.6562202449797154e-4,0.0036827998951284068
100,0.05,0.01,0.003742646345106823,0.002497629168668697
100,0.05,0.02,0.0030652921386503254,0.00298095075911564
100,0.05,0.05,0.003637108300234766,0.002644981827273453
100,0.05,0.1,0.0020562739397432957,0.0012324730170473895
100,0.05,0.2,0.0014364923973760834,0.0013594079826176639
100,0.05,0.5,3.3867192119518656e-4,0.0022326248614538452
100,0.05,1,0.0016197145804880701,9.343587317448137e-4
100,0.1,0.01,0.0021185922975567617,0.002107558368624881
100,0.1,0.02,0.0032295885719667763,0.002281754442932165
100,0.1,0.05,0.001980324742994494,0.0025657600576236626
100,0.1,0.1,7.969521303941713e-4,9.068306647023402e-4
100,0.1,0.2,0.002730099369107479,0.0017952018424904222
100,0.1,0.5,0.001416504830841627,0.0018150686563711909
100,0.1,1,3.9179864574702335e-4,0.0012824355651005958
100,0.2,0.01,9.335890937804778e-4,0.0010148204376118285
100,0.2,0.02,0.001607433495670574,0.001427356101257183
100,0.2,0.05,0.001725511347956697,0.0023251897380925277
100,0.2,0.1,0.0011064735910558704,0.0019907406907918716
100,0.2,0.2,4.0948077481154467e-4,0.003281405610344259
100,0.2,0.5,0.0020694577133261462,0.00422532796872435
100,0.2,1,0.0018723885504265364,0.0010937765454093408
100,0.5,0.01,0.00206756861376235,0.0031757117373837447
100,0.5,0.02,8.297389836814396e-4,0.005791884110954418
100,0.5,0.05,9.168777272849189e-4,0.0014163398532872197
100,0.5,0.1,9.037456820450574e-4,0.0010598968548475747
100,0.5,0.2,0.0010836911077251065,0.0011060417148146414
100,0.5,0.5,9.709916819582454e-4,0.006902676669587005
100,0.5,1,3.354392865084086e-4,6.055141928302656e-4
100,1,0.01,0.0014085712488435644,0.0015534992208938191
100,1,0.02,0.0013905993071746448,0.0013660078667982582
100,1,0.05,2.8726835309974495e-4,8.6066778576008e-4
100,1,0.1,5.016941949038266e-4,0.00288177200786711
100,1,0.2,2.0084669822918215e-4,0.0023734416802225562
100,1,0.5,0.0012153629131338964,0.0021363376560805843
100,1,1,1.941008024401397e-4,3.1915576138261354e-4
100,10,0.01,5.549770999035765e-4,0.00396412417420074
100,10,0.02,3.4247976765425795e-4,0.004276157123816045
100,10,0.05,7.723933959258819e-4,8.503599959848103e-4
100,10,0.1,1.5790504037261328e-4,0.0015032971364520914
100,10,0.2,6.051267001464864e-4,0.0020500885906915255
100,10,0.5,5.228007000093971e-4,0.002047863442336418
100,10,1,3.1970168419538143e-4,0.0043585072058690355
100,100,0.01,2.086119382797903e-4,0.006294201777669878
100,100,0.02,3.6005542452487773e-4,0.006877312661921933
100,100,0.05,3.9208998758540596e-4,0.00513443816374481
100,100,0.1,7.070635362541633e-4,0.005997362326362185
100,100,0.2,7.599856819803241e-4,0.008538673637792683
100,100,0.5,2.129294946521589e-4,0.004865818513939663
100,100,1,1.0558122241615281e-4,0.003096387310555043
100,1000,0.01,0.00109524489377322,0.016990614294314015
100,1000,0.02,6.736408236546463e-4,0.0021977945602691157
100,1000,0.05,0.0010470718080465575,0.014623513995745087
100,1000,0.1,0.002199383907711851,0.001640513674403196
100,1000,0.2,3.8265755220330804e-4,0.004324720194302134
100,1000,0.5,2.8948349029290273e-4,0.011011230315235926
100,1000,1,9.253056387466363e-4,0.001158320953782882
100,10000,0.01,1.548724228221107e-4,0.0025920848268435816
100,10000,0.02,5.413886936989472e-4,0.028372227523207207
100,10000,0.05,2.9000234932582394e-4,0.015129284407349551
100,10000,0.1,3.638887695227996e-4,0.0030320133318582397
100,10000,0.2,3.064108170682424e-4,0.010896559645269472
100,10000,0.5,1.9343451352586222e-4,0.01611164806192305
100,10000,1,2.2664040569743846e-4,0.01774694322913566
100,100000,0.01,4.146559456175824e-4,0.07231525615097806
100,100000,0.02,0.001592887100250118,0.18829804735308628
100,100000,0.05,4.7881536932084274e-4,0.03958167802366192
100,100000,0.1,7.322133408891522e-4,0.09190561097890831
100,100000,0.2,7.313915286284466e-4,0.06732355371267855
100,100000,0.5,4.4867325203173594e-4,0.11248975584931499
100,100000,1,0.001289588538682794,0.10623971226345161
200,0.05,0.01,2.894717296244866e-4,5.272162019821071e-4
