interval,ebar,s,wmax,lmax,lmin,lmax_m,lmax_lo,lmax_hi,lmin_m,lmin_lo,lmin_hi,ebar_m,ebar_lo,ebar_hi,s2_m,s2_lo,s2_hi,nch,z
0.2,-0.023327107021725007,0.10730844536724479,0.16190178419642712,1.147853510540223,0.8505247354084869,1.152808980501752,1.120278859560993,1.19173046358801,0.8421884864727538,0.8032597245840409,0.8859881914291117,-0.023777362753913,-0.03919943322574154,-0.00783239362761733,0.01237273322727614,0.00930384030482173,0.01561708674435301,5,1
0.5,-0.01996715021476023,0.09263904838939785,0.14976752162349335,1.1231280556663725,0.8609080956788617,1.129979352131926,1.085247732008415,1.179489526351811,0.8559804353502979,0.8260927784721315,0.8883929644074997,-0.02041964282365717,-0.03645534631652299,3.3504295160525e-4,0.00941544074111424,0.00666014113019399,0.01230995379787227,5,1
1,0.005801127451703727,0.15364647016914124,0.3108261749821133,1.364552007292829,0.8413753884568212,1.366443601116337,1.287342365531014,1.445746527958772,0.8371083799414655,0.8083291994692802,0.8679129328816988,0.00529707369805987,-0.01509535367077324,0.02197171727434286,0.02451129469450402,0.01826390633758688,0.03165210482596104,5,1
0.01,0.06894005027461775,0.3025187085836487,0.5754488896632807,1.7779284415122798,0.674475093208976,1.779377405684777,1.730307269096782,1.833648636507362,0.6697911066968014,0.6209915554179569,0.7237620574150947,0.068007050374627,0.04452522573360285,0.1007583840441147,0.09348649302506626,0.07863955538156935,0.1091159426247678,10,0.05
0.02,0.054246556290779575,0.321435454638929,0.5725378908109244,1.7727604195618967,0.6446892575220204,1.774455343455217,1.725669519346722,1.823529507806809,0.6421988327244622,0.5994599776900483,0.6817481141741613,0.0536050325638484,0.0308023030630959,0.07802622133605866,0.1046475167844154,0.09243484834147958,0.1193049440163431,10,0.05
0.05,0.04188934194708664,0.292243510818002,0.48456420488780877,1.6234673555211612,0.6540809223042003,1.625076762845352,1.573596268062395,1.675950151961799,0.6524637212049442,0.6202010110169986,0.6824420352745852,0.04129516093173713,0.02078415773651798,0.06423453297318733,0.08653797757513444,0.07660424611988823,0.09693139069293932,10,0.05
0.1,0.005951377908782318,0.2839036776400679,0.4742812888024932,1.5415222959378097,0.6223321728732019,1.543121785266263,1.491310238662545,1.587457783539834,0.6213139845845316,0.6036594487825395,0.6426221782333438,0.00553554334349595,-0.01069945357007174,0.01868496194387192,0.08140365981114561,0.07501446313791132,0.08824221421849282,10,0.05
0.2,-0.02168600883676788,0.23734775950691187,0.4436141859637126,1.3721823006887284,0.6417129549384648,1.374335770750339,1.329578017191886,1.425282602877799,0.6406059680043623,0.6194946248489048,0.6620239809577484,-0.02211688993204935,-0.03689119638978627,-0.00729787610429937,0.0571587935588657,0.05041374258476425,0.06384452969568606,10,0.05
0.5,-0.0650546949598484,0.14420590163739958,0.335841324910081,1.1248762625415574,0.7147365076984199,1.129095934473807,1.095721808137359,1.168370789478366,0.7130572744684542,0.6827857435696594,0.7408691977231938,-0.06551935208440204,-0.08356456438013635,-0.04803347245071442,0.021659831410717,0.01807873348792702,0.02636278453516496,10,0.05
1,-0.03573042131481319,0.1590221447358649,0.29397621298780147,1.2647661360524474,0.7452942195551304,1.266689894539397,1.207935786180129,1.321575095606897,0.7432551516496365,0.714471752882176,0.7725677755809649,-0.03623576650439365,-0.05265828978093161,-0.02015261745386606,0.02622482988283247,0.02132372456695322,0.0311346453170723,10,0.05
