interval,r1_m,r1_lo,r1_hi,r2_m,r2_lo,r2_hi,nch,z,n,r2,r2lo,r2hi,r1
1,0.08587652429280222,0.01397796322294282,0.1570036245773201,9.880532118545336,9.789074740900356,9.972143530381114,20,1,10,-0.011946788145466458,-0.021092525909964466,-0.0027856469618885438,0.008587652429280222
0.5,0.1560837871375814,0.06673838516165692,0.2392041522961297,19.88013047385235,19.75705671503251,20.0200677583581,20,1,20,-0.00599347630738245,-0.012147164248374587,0.0010033879179049965,0.007804189356879069
0.2,0.2114033714788509,0.09766181456845437,0.3853028922073592,50.00523671527134,49.83450865938311,50.2130902660452,20,1,50,1.0473430542679019e-4,-0.003309826812337824,0.004261805320904033,0.004228067429577018
0.1,0.3487956706475556,0.1341560998743252,0.5306763524597541,99.9472850831534,99.6149898712741,100.2391756354525,20,1,100,-5.271491684659679e-4,-0.0038501012872589335,0.002391756354525043,0.0034879567064755564
0.05,0.4966775883592519,0.2143413605573731,0.7297273725990021,200.0337701893894,199.5321533773733,200.435446900944,20,1,200,1.6885094694707448e-4,-0.002339233113133443,0.0021772345047199604,0.0024833879417962596
0.02,0.9152349857263808,0.4858252037341744,1.434340867301494,499.9848329277453,499.2767568782266,500.5970295175018,20,1,500,-3.0334144509369665e-5,-0.0014464862435468184,0.0011940590350036917,0.0018304699714527617
0.01,1.276686619880868,0.6961125355530626,1.829247266512869,1000.5564197817,999.7185925292872,1001.432456709992,20,1,1000,5.564197817000682e-4,-2.8140747071281336e-4,0.001432456709992147,0.001276686619880868
1,0.02136827997683101,-0.05502086049981068,0.08634976158315012,10.02618470449448,9.938392265437503,10.12257061984671,20,10,10,0.0026184704494478517,-0.0061607734562496574,0.012257061984671136,0.002136827997683101
0.5,-0.01794021326397592,-0.09226225614381706,0.05169731689808194,19.90937496509958,19.79930097216556,20.03228530867148,20,10,20,-0.004531251745021003,-0.010034951391721947,0.0016142654335740136,-8.970106631987961e-4
0.2,-0.01390524251376945,-0.1490054496476311,0.1426601867587076,49.93161164542571,49.70932697428357,50.12213118970604,20,10,50,-0.0013677670914857831,-0.005813460514328628,0.0024426237941208573,-2.78104850275389e-4
0.1,0.00964868300313413,-0.2182055222309935,0.2193743245098952,99.95410240797617,99.66059598310054,100.2269824385496,20,10,100,-4.589759202383581e-4,-0.003394040168994694,0.0022698243854959443,9.64868300313413e-5
0.05,0.2615612311911866,-0.08284443861422557,0.5547472372299338,199.8286657211241,199.4012833680512,200.2462293934345,20,10,200,-8.566713943793935e-4,-0.002993583159744073,0.001231146967172414,0.0013078061559559332
0.02,0.2396277749323908,-0.0904196966386094,0.7364075659216485,499.7935922521472,499.0381005219512,500.3969320973058,20,10,500,-4.128154957055985e-4,-0.001923798956097622,7.938641946116931e-4,4.792555498647816e-4
0.01,-0.5868944339133126,-1.113832843569789,-0.03034001077723517,1000.109486413641,998.9785414830656,1001.075585734571,20,10,1000,1.0948641364105782e-4,-0.0010214585169344703,0.0010755857345710051,-5.868944339133126e-4
1,0.06953712885747017,0.00667489426594071,0.1501389780762979,9.842554353923072,9.758540202332842,9.921057267392271,50,0.05,10,-0.0157445646076928,-0.02414597976671584,-0.007894273260772855,0.0069537128857470164
0.5,0.1812436913363518,0.0914367585516217,0.2807780804665858,19.61953678586877,19.50605436572942,19.73961179427642,50,0.05,20,-0.019023160706561404,-0.02469728171352903,-0.013019410286178923,0.00906218456681759
0.2,0.4320073174253909,0.3104376451162226,0.5889719397929838,49.67522980152245,49.45800343378338,49.88629403012864,50,0.05,50,-0.006495403969551061,-0.010839931324332364,-0.0022741193974272766,0.008640146348507818
0.1,0.5299396369861329,0.3044107714646129,0.7333721277428125,99.58649475687857,99.26520998150872,99.89673926080091,50,0.05,100,-0.00413505243121437,-0.007347900184912826,-0.0010326073919908474,0.005299396369861329
0.05,1.333677314662473,0.9882847450359292,1.663701386958122,199.7980957302781,199.3316640063182,200.2740961884726,50,0.05,200,-0.0010095213486094323,-0.0033416799684090615,0.0013704809423631392,0.006668386573312365
0.02,2.129738808221464,1.711627788631812,2.65508576207621,500.3588890726111,499.7203565300289,500.9837383916132,50,0.05,500,7.177781452221144e-4,-5.592869399422273e-4,0.001967476783226507,0.004259477616442928
0.01,3.282648570718195,2.613778433455693,4.011844799287343,1000.690953269709,999.7278977605154,1001.838971527706,50,0.05,1000,6.90953269709027e-4,-2.721022394845951e-4,0.001838971527706068,0.003282648570718195
1,0.01901981516938922,-0.03836459118617533,0.1023559323630759,9.904575089568333,9.808894896910305,9.99519751762936,50,0.1,10,-0.009542491043166734,-0.019110510308969486,-4.802482370639405e-4,0.001901981516938922
0.5,0.08016037719461437,-0.0209403010808678,0.1886951220646455,19.7169759001298,19.60486489983184,19.83559104922457,50,0.1,20,-0.01415120499350997,-0.019756755008408122,-0.008220447538771603,0.004008018859730718
