interval,ebar,s,dAI,comp,nch,z
0.05,-0.00827266751625585,0.08854305900605171,NA,corr,10,1
0.1,-0.006089179664272134,0.07253378964407166,NA,corr,10,1
0.2,-0.0061963511513842525,0.043582409669516424,NA,corr,10,1
0.5,0.00447152802429289,0.04287455803163324,NA,corr,10,1
1,0.014324129740819685,0.05501871800142734,NA,corr,10,1
0.01,0.011676036966614982,0.02918331192260563,NA,total,10,10
0.02,0.002287178517174138,0.023601291795117847,NA,total,10,10
0.05,0.010219183491879016,0.04458196665626015,NA,total,10,10
0.1,-0.003925867847650814,0.03684844179127447,NA,total,10,10
0.2,0.00744823374366271,0.0488071519217802,NA,total,10,10
0.5,0.0033724901823654527,0.047218714489328066,NA,total,10,10
1,0.005738399526041396,0.07494848483804417,NA,total,10,10
0.01,2.807922417098738e-4,0.001064792182000703,NA,sample,10,10
0.02,-0.0010523708491307153,0.0026272952926197687,NA,sample,10,10
0.05,1.0148886838084445e-4,0.0036963438866696443,NA,sample,10,10
0.1,-0.0024415119381906766,0.006327066374455694,NA,sample,10,10
0.2,-0.0012705268720259392,0.010077824996235154,NA,sample,10,10
0.5,3.46550864984387e-4,0.020077595304620575,NA,sample,10,10
1,-0.00227309323055801,0.04043274642864463,NA,sample,10,10
0.01,0.011393582806567428,0.02879246713137323,NA,corr,10,10
0.02,0.0033355866688737686,0.02413042030318637,NA,corr,10,10
0.05,0.010120909519545088,0.04276372688468637,NA,corr,10,10
0.1,-0.001488253289008072,0.032667465397873,NA,corr,10,10
0.2,0.00870449121240047,0.041248529002933805,NA,corr,10,10
0.5,0.003005091273733415,0.033534374476295314,NA,corr,10,10
1,0.0079923309479176,0.040862211764922926,NA,corr,10,10
0.01,0.007343532887831366,0.03251487751462309,NA,total,10,100
0.02,-0.008878523385637924,0.024678598560714964,NA,total,10,100
0.05,0.008890354655056942,0.03404468606172667,NA,total,10,100
0.1,0.007144706930808326,0.03184295727800469,NA,total,10,100
0.2,-0.008783697303422341,0.028672318181001067,NA,total,10,100
0.5,0.01843128972056425,0.03274140444449597,NA,total,10,100
1,0.006643380063317026,0.03728661781088267,NA,total,10,100
0.01,-1.731024225852196e-4,0.0014032060493734504,NA,sample,10,100
0.02,5.430276528991677e-4,0.0020349905471179386,NA,sample,10,100
0.05,-6.56431027782279e-4,0.0032777911754640963,NA,sample,10,100
0.1,0.003180685072177984,0.005112706495712328,NA,sample,10,100
0.2,-0.004890241632977093,0.007680083739977002,NA,sample,10,100
0.5,0.009079179111224847,0.01217152301043804,NA,sample,10,100
1,0.007768935486671169,0.0221331904053476,NA,sample,10,100
0.01,0.007515490680167366,0.0326734762963392,NA,corr,10,100
0.02,-0.009422373929865533,0.024441139473375104,NA,corr,10,100
0.05,0.00954215740823888,0.0331766686849633,NA,corr,10,100
0.1,0.003959272123925179,0.03292369954793477,NA,corr,10,100
0.2,-0.0039030802952875936,0.02991847313866462,NA,corr,10,100
0.5,0.009348854524714772,0.027522835946956117,NA,corr,10,100
1,-0.0011508153723791357,0.028885649757323408,NA,corr,10,100
0.01,0.004240291626530503,0.03325782180956415,NA,total,10,1000
0.02,0.014711811443903834,0.03059652068310328,NA,total,10,1000
0.05,-0.007143387168097576,0.028990601104747597,NA,total,10,1000
0.1,0.002366998281048764,0.033866734432865905,NA,total,10,1000
0.2,-0.0013221243926069032,0.02854317373911939,NA,total,10,1000
0.5,0.006600757139839658,0.03139033545516652,NA,total,10,1000
1,-0.0113514744294561,0.036104349829888735,NA,total,10,1000
0.01,5.326646388828077e-4,0.0013790411547241026,NA,sample,10,1000
0.02,-6.120283547776541e-4,0.001976038299185803,NA,sample,10,1000
0.05,4.921094624248842e-4,0.0030075587986719203,NA,sample,10,1000
0.1,7.03933559525314e-4,0.0028083966595599122,NA,sample,10,1000
0.2,0.0033560757575439634,0.004196452176731792,NA,sample,10,1000
0.5,-0.0016389183533360172,0.008323093673154128,NA,sample,10,1000
1,-0.0037694543297475958,0.01316981760404356,NA,sample,10,1000
0.01,0.00370767081576815,0.03262761903968517,NA,corr,10,1000
0.02,0.015322024820349932,0.029957792375508288,NA,corr,10,1000
0.05,-0.007637413506294895,0.02915886652626127,NA,corr,10,1000
0.1,0.0016583416802955948,0.034374290968896826,NA,corr,10,1000
0.2,-0.00468585637607673,0.02850100364891463,NA,corr,10,1000
0.5,0.008221366164927931,0.028767306572557997,NA,corr,10,1000
1,-0.00760091273520526,0.031497177398282776,NA,corr,10,1000
0.01,-3.406921441268922e-4,0.0304670679834428,NA,total,10,10000
0.02,0.005925572852114989,0.030872430967442785,NA,total,10,10000
0.05,-0.010067200170954171,0.019505088384518393,NA,total,10,10000
0.1,0.014633676739293729,0.030630436269148992,NA,total,10,10000
0.2,0.0095950915381821,0.03200221082021858,NA,total,10,10000
0.5,0.0018331811755184406,0.019876312052249514,NA,total,10,10000
1,0.017741049020506362,0.02714911289408008,NA,total,10,10000
0.01,-5.071056167900716e-4,0.0010919999154405222,NA,sample,10,10000
0.02,2.822066298404506e-4,0.001614989576337394,NA,sample,10,10000
0.05,7.944691818434821e-5,0.002516172397800001,NA,sample,10,10000
0.1,0.003392693221220025,0.003883300682590121,NA,sample,10,10000
0.2,0.003401338478711458,0.008639765171133155,NA,sample,10,10000
0.5,0.0016205339293666808,0.00898939936996614,NA,sample,10,10000
1,0.014072519768372666,0.019422419865105876,NA,sample,10,10000
0.01,1.6696797174589376e-4,0.03054743930283675,NA,corr,10,10000
0.02,0.005642938417749155,0.0307478328359495,NA,corr,10,10000
0.05,-0.010143611718458918,0.01848050674212177,NA,corr,10,10000
0.1,0.011237469674714258,0.029621563552893346,NA,corr,10,10000
0.2,0.006189678288018231,0.030722209359769565,NA,corr,10,10000
0.5,2.0528428833487856e-4,0.019893858871630875,NA,corr,10,10000
1,0.003648773418947895,0.019050863487601634,NA,corr,10,10000
0.01,0.08365099983914659,0.2743610290541169,NA,total,20,0.05
0.02,0.0665339060633344,0.27404410606813184,NA,total,20,0.05
0.05,0.04492268903880015,0.2570422229913911,NA,total,20,0.05
0.1,0.003364781268190388,0.2429448758004325,NA,total,20,0.05
0.2,-0.013039117607947001,0.1990455384612562,NA,total,20,0.05
0.5,-0.0537109376261687,0.1204025725840326,NA,total,20,0.05
