"nch","z","D","x","S","babs","pabs","sig_abs","zmax","pz","sig_z"
20,0.2,0.02,0.0565685424949238,0.02,0.0053971152970944,"k_on",FALSE,0.113574511257325,"baseline",TRUE
20,0.2,0.05,0.0894427190999916,0.02,0.00747130359536467,"k_on",TRUE,0.0819253290549841,"baseline",TRUE
20,0.2,0.1,0.126491106406735,0.02,0.00709898871313124,"S",TRUE,0.0831603723462534,"baseline",TRUE
20,0.2,0.2,0.178885438199983,0.02,0.0138099879372549,"S",TRUE,0.0920133079846189,"S",TRUE
20,0.2,0.5,0.282842712474619,0.02,0.0256798091781216,"S",TRUE,0.0937627907759644,"S",TRUE
20,0.2,1,0.4,0.02,0.0263768888272188,"N_ch",TRUE,0.0607486220557685,"N_ch",TRUE
20,0.5,0.01,0.1,0.05,0.0033813539647989,"baseline",TRUE,0.0564729182778161,"baseline",TRUE
20,0.5,0.02,0.14142135623731,0.05,0.00482275284411206,"baseline",TRUE,0.0803446479993875,"baseline",TRUE
20,0.5,0.05,0.223606797749979,0.05,0.00727269639434782,"N_ch",TRUE,0.0778385789652301,"baseline",TRUE
20,0.5,0.1,0.316227766016838,0.05,0.00646188278826164,"N_ch",FALSE,0.0463854426421429,"baseline",TRUE
20,0.5,0.2,0.447213595499958,0.05,0.0126597402029895,"N_ch",TRUE,0.0697757159693055,"S",TRUE
20,0.5,0.5,0.707106781186548,0.05,0.0178664946909148,"S",TRUE,0.0686619854996915,"S",TRUE
20,0.5,1,1,0.05,0.0215585038537098,"S",TRUE,0.0523452842392714,"S",TRUE
20,1,0.01,0.2,0.1,0.00537842568584147,"baseline",TRUE,0.0638313534604557,"baseline",TRUE
20,1,0.02,0.282842712474619,0.1,0.0047901110040942,"baseline",TRUE,0.0567464580317021,"baseline",TRUE
20,1,0.05,0.447213595499958,0.1,0.0103261730766284,"N_ch",TRUE,0.0380216804088867,"baseline",TRUE
20,1,0.1,0.632455532033676,0.1,0.0045309258360207,"N_ch",FALSE,0.0355986336965844,"baseline",TRUE
20,1,0.2,0.894427190999916,0.1,0.00420914345192901,"baseline",TRUE,0.0493074805200767,"baseline",TRUE
20,1,0.5,1.4142135623731,0.1,0.0128521617252353,"S",TRUE,0.0518368735383785,"S",TRUE
20,1,1,2,0.1,0.0181559343244938,"S",TRUE,0.0456754143986839,"S",TRUE
20,10,0.01,2,1,0.00836440611336121,"k_on",FALSE,0.016825527123632,"k_on",FALSE
20,10,0.02,2.82842712474619,1,0.00775190586952474,"N_ch",FALSE,0.0141209940354046,"i",FALSE
20,10,0.05,4.47213595499958,1,0.00817911758427728,"N_ch",FALSE,0.0135353271440967,"i",FALSE
20,10,0.1,6.32455532033676,1,0.00424355230569342,"N_ch",FALSE,0.00703365627012091,"k_off",FALSE
20,10,0.2,8.94427190999916,1,0.00481755094983184,"k_on",FALSE,0.00996534410948216,"k_off",FALSE
20,10,0.5,14.142135623731,1,0.0122169333115762,"N_ch",FALSE,0.0225229679343403,"k_on",TRUE
20,10,1,20,1,0.00505705747057291,"k_on",FALSE,0.00968731066364866,"S",FALSE
50,0.05,0.01,0.025,0.005,0.00659051912818587,"k_on",TRUE,0.0795899012250809,"baseline",TRUE
50,0.05,0.02,0.0353553390593274,0.005,0.00316789079712174,"N_ch",FALSE,0.0740197876669561,"baseline",TRUE
50,0.05,0.05,0.0559016994374948,0.005,0.00329310326160717,"S",TRUE,0.0591807350561384,"baseline",TRUE
50,0.05,0.1,0.0790569415042095,0.005,0.00927594454361451,"S",TRUE,0.0810248884151557,"S",TRUE
50,0.05,0.2,0.11180339887499,0.005,0.0144991823038762,"S",TRUE,0.0819650258839411,"S",TRUE
50,0.05,0.5,0.176776695296637,0.005,0.0176846656677612,"S",TRUE,0.0588027756505971,"N_ch",TRUE
50,0.05,1,0.25,0.005,0.00790406822910104,"S",TRUE,0.0278923346541365,"k_off",TRUE
50,0.1,0.01,0.05,0.01,0.00369680714994293,"N_ch",FALSE,0.0717285598305369,"baseline",TRUE
50,0.1,0.02,0.0707106781186548,0.01,0.00210836211614759,"baseline",TRUE,0.07300941285395,"baseline",TRUE
50,0.1,0.05,0.11180339887499,0.01,0.00409343057357298,"k_on",FALSE,0.0603271982645962,"baseline",TRUE
