nch,z,interval,param,v,b,se
10,0.1,0.2,i,-0.0019166188420222663,-0.00628005319264951,0.1943350200595993
10,0.1,0.2,S,-0.1915402277521672,-0.02749781909965678,0.147196964159509
10,0.1,0.2,baseline,0.06113086199865535,0.00174777284843941,0.0258454790671862
10,0.1,0.2,N_ch,0.03931559290233108,0.01928869742115602,0.4047079272055961
10,0.1,0.5,k_on,-0.008562560116731954,-0.02157298887994368,0.4320929473802883
10,0.1,0.5,k_off,0.09417875491194458,0.02161083660978702,0.1844199136798458
10,0.1,0.5,i,-0.04670199937323405,-0.01920835639128672,0.2220445448764363
10,0.1,0.5,S,-0.1722514740726086,-0.04295597645880803,0.2663150853275465
10,0.1,0.5,baseline,0.033092612732929766,0.00106607502698659,0.026944980546033802
10,0.1,0.5,N_ch,0.08419259273258045,0.0418706650766572,0.44524974275631324
10,0.1,1,k_on,-0.009921488595552475,-0.02759380788753672,0.47816843712138446
10,0.1,1,k_off,0.10783234329946945,0.01962709500364114,0.17967310161980612
10,0.1,1,i,-0.0754174120078151,-0.02884716095351765,0.2840805733481147
10,0.1,1,S,-0.0807640534542946,-0.03051405772655965,0.4156716199752444
10,0.1,1,baseline,0.0202296928954765,5.6170271589637e-4,0.02872365327557273
10,0.1,1,N_ch,0.08566406954138855,0.0531507944029864,0.5033172125558819
10,0.2,0.01,k_on,-0.022785328043398684,-0.00636602848337854,0.3219482329857997
10,0.2,0.01,k_off,0.024354479263098642,0.00243516523077262,0.17392525983781468
10,0.2,0.01,i,0.013713113815608764,7.9070482139509e-4,0.18308575350099665
10,0.2,0.01,S,-0.020202777545841773,-4.9416008753424e-4,0.0205443284521298
10,0.2,0.01,baseline,0.14951644523781846,0.00519142210919942,0.03572586462178781
10,0.2,0.01,N_ch,5.279222744113757e-4,0.00331130438862364,0.34375567865693796
10,0.2,0.02,k_on,-0.020037750633516014,-0.00747057112239262,0.3327838892208446
10,0.2,0.02,k_off,0.03447062573924861,0.00423618465722556,0.1755526173304816
10,0.2,0.02,i,0.03571345340929844,0.00145224097187066,0.18648490683798202
10,0.2,0.02,S,-0.02864322309088903,-0.00109225104757223,0.030509471312633228
10,0.2,0.02,baseline,0.14514146638060077,0.00502484632783834,0.03568045913232073
10,0.2,0.02,N_ch,0.013788238507440216,0.00496852522190556,0.3573357895069874
10,0.2,0.05,k_on,-0.02125026751361376,-0.0054838899692108,0.3520092106388178
10,0.2,0.05,k_off,0.021604129938709346,0.0025632878357184,0.1769733840237698
10,0.2,0.05,i,0.002942055034753286,6.2752086374114e-4,0.19071126244869643
10,0.2,0.05,S,-0.05953955070262351,-0.0033494286166963,0.05435804784925191
10,0.2,0.05,baseline,0.11270876535642724,0.00394651223082676,0.03586567241997074
10,0.2,0.05,N_ch,-0.005530562931474865,0.00268898072310454,0.37568710961013607
10,0.2,0.1,k_on,-0.013113879401214494,-0.00574280684158615,0.37538469467968855
10,0.2,0.1,k_off,0.04914778914025261,0.00819181321001197,0.18042255980744543
10,0.2,0.1,i,0.01191280898262398,-0.0010410411867409,0.19794021751981308
10,0.2,0.1,S,-0.07938812726091954,-0.00717353266452401,0.08751142092216346
10,0.2,0.1,baseline,0.10516420851965287,0.00368387034881957,0.03597399968691082
10,0.2,0.1,N_ch,0.011249775492950934,0.00759243934956329,0.40034226155568803
10,0.2,0.2,k_on,-9.397712462584774e-4,7.4706212432864e-4,0.4018552672757278
10,0.2,0.2,k_off,0.04316772652075637,0.00673948930166777,0.18326409923186152
10,0.2,0.2,i,0.005176860328501029,0.00149318274265485,0.20616339037802478
10,0.2,0.2,S,-0.12566758519529625,-0.01782379234393753,0.14070295481806408
10,0.2,0.2,baseline,0.08411463123263085,0.00313124971499797,0.03644461215326293
10,0.2,0.2,N_ch,-0.001627984756005744,4.9192484068981e-4,0.4242620571783142
10,0.2,0.5,k_on,0.010652223214996107,-0.0034566790120909,0.441796704416115
10,0.2,0.5,k_off,0.06466684342423126,0.01314473401726202,0.1855470041111998
10,0.2,0.5,i,-0.03506651835797278,-0.00910872202937965,0.23412971399146323
10,0.2,0.5,S,-0.12813991778303616,-0.03148107365947533,0.2587812469299753
10,0.2,0.5,baseline,0.04263731148399612,0.00172352209362698,0.03782003157822386
10,0.2,0.5,N_ch,0.03290375299067802,0.01688353292462982,0.4622596090992304
10,0.2,1,k_on,-0.006750513018192655,-0.02257160801647676,0.4851826610908333
10,0.2,1,k_off,0.09278175514525458,0.01774580564952028,0.18281325540038526
10,0.2,1,i,-0.04129209501641529,-0.02045982138365772,0.2951749897933449
10,0.2,1,S,-0.0910001429913675,-0.03386637977005082,0.40758786631755695
10,0.2,1,baseline,0.010576584043518057,3.6427982319533e-4,0.039938964742884234
10,0.2,1,N_ch,0.07482327239473441,0.04192008569948931,0.5201725710456867
10,0.5,0.01,k_on,-0.011144051937516265,-0.0046003923317022,0.38443970925859544
10,0.5,0.01,k_off,-0.0054413883451631135,-0.00150536813725963,0.18506643400399214
10,0.5,0.01,i,0.015133680430442758,0.00103440599298867,0.21292841070754848
10,0.5,0.01,S,-0.015215883540213191,-3.403109823001e-4,0.02015829701955748
10,0.5,0.01,baseline,0.12418122509420071,0.00692014498590425,0.05619454945707252
10,0.5,0.01,N_ch,0.008841130778363009,0.00231584915446338,0.4160616874404506
10,0.5,0.02,k_on,-0.008194909735269297,-3.1012261564706e-4,0.39381063569905167
10,0.5,0.02,k_off,0.009606864697694558,-1.319736417874e-4,0.18600419979530658
10,0.5,0.02,i,0.0039126041946970155,0.00194586755604295,0.2152897863948542
10,0.5,0.02,S,-0.01585370263254896,-5.4426638495188e-4,0.029493587774448705
10,0.5,0.02,baseline,0.09781494794213808,0.00535100052906415,0.05633578401904645
10,0.5,0.02,N_ch,-0.011389120754533372,-0.00213925025640972,0.42556202961602013
10,0.5,0.05,k_on,0.006561857344584254,0.00292800093459065,0.3999728389813719
10,0.5,0.05,k_off,0.011564517259879125,3.0158193436868e-4,0.1860405711218239
10,0.5,0.05,i,0.0375319462466174,0.00512990675231072,0.21891077905490172
10,0.5,0.05,S,-0.019396559793991554,-0.0013758212125904,0.05087634060638334
10,0.5,0.05,baseline,0.09590550899785807,0.00534229020616378,0.056403964807384334
10,0.5,0.05,N_ch,0.0029397678981440897,-0.00503818932388976,0.4327392915008256
10,0.5,0.1,k_on,0.0013086339698399792,0.00142368477103951,0.4101591393816594
10,0.5,0.1,k_off,0.016011216819122612,0.00141440730336038,0.18686922481006982
10,0.5,0.1,i,0.03201700699173104,0.00478606122388239,0.22434014735481023
10,0.5,0.1,S,-0.038570948511070235,-0.00363322765203086,0.0804684013484359
10,0.5,0.1,baseline,0.08701992003299833,0.00484739733917669,0.05666291066732947
10,0.5,0.1,N_ch,0.00141231387311129,-0.00380514953487401,0.4438339938406131
10,0.5,0.2,k_on,7.8828213479612e-5,0.00315486861737845,0.43037702204942435
10,0.5,0.2,k_off,0.02297967729543561,0.00255937072229253,0.18851074397604528
10,0.5,0.2,i,0.03061713214542383,0.00722438750271335,0.23401397632315968
10,0.5,0.2,S,-0.09179386157115373,-0.01269099767679551,0.13072536720130534
10,0.5,0.2,baseline,0.06832960164274689,0.00390523347625754,0.05716860262119365
10,0.5,0.2,N_ch,-0.006698634630130554,-0.0073172817888457,0.4647814756843957
10,0.5,0.5,k_on,-0.0021105826042622407,7.6023267534513e-4,0.4595478218317584
10,0.5,0.5,k_off,0.047232812346463926,0.0078700303348763,0.19016621231483283
10,0.5,0.5,i,0.04034819633188081,0.00862533022127461,0.26110539310926145
10,0.5,0.5,S,-0.10636805967738003,-0.02658996172655772,0.2447438208846474
10,0.5,0.5,baseline,0.04829240424502896,0.00280674656181017,0.05879419145850753
10,0.5,0.5,N_ch,0.004701132423242646,-0.00480887795243947,0.49768655349385815
10,0.5,1,k_on,-0.004035943113886699,-0.00676079413617541,0.5033494531226846
10,0.5,1,k_off,0.05384406066227678,0.00992828064989579,0.18854993305283302
10,0.5,1,i,0.0017879621691371805,-0.00144486249510853,0.3208144362990411
10,0.5,1,S,-0.09429148901440962,-0.03552925637583791,0.3921659272949487
10,0.5,1,baseline,0.019910298416434435,0.00109485517681242,0.0614442374493367
10,0.5,1,N_ch,0.02361091873857077,0.01008868684863017,0.5580224363082017
10,1,0.01,k_on,0.01575245529169656,0.00891984542542441,0.4404371763011568
10,1,0.01,k_off,-0.015513482361884653,-0.0045784273988737,0.19516363102985568
10,1,0.01,i,0.0048037012733131434,0.0034909296036733,0.24610912778724242
10,1,0.01,S,-0.0034052727818891697,-9.377687340333684e-5,0.019959457604270463
10,1,0.01,baseline,0.07359326811732061,0.00604083811832338,0.07938720618975523
10,1,0.01,N_ch,-0.009760466607518989,-0.00920449568294135,0.4816838834286329
