interval_in_tau,param_index,m,lo,hi,se,nch,z
0.01,1,0.00372085622995482,1.3342524399077e-4,0.00751813493921732,0.16600061980100894,10,0.1
0.01,2,-0.00153213494975567,-0.00438855518619847,0.00103953303422626,0.1675464620936039,10,0.1
0.01,3,-0.00109650012587131,-0.0014920915687782,-6.6497710466561e-4,0.020968849381073584,10,0.1
0.01,4,0.00484291145250533,0.00421095387151753,0.00538487587570586,0.02530235855752641,10,0.1
0.01,5,0.00798244640165506,0.00357282525117167,0.01363417233153941,0.2953588974588571,10,0.1
1,0,-0.02257160801647676,-0.03306235796167287,-0.0124813376010024,0.4851826610908333,10,0.2
1,1,0.01774580564952028,0.01396785603801446,0.02243202851652629,0.18281325540038526,10,0.2
1,2,-0.02045982138365772,-0.02638163577173416,-0.01476247809655726,0.2951749897933449,10,0.2
1,3,-0.03386637977005082,-0.04167071576175957,-0.02590924177167514,0.40758786631755695,10,0.2
1,4,3.6427982319533e-4,-7.0487873776776e-4,0.00119864607179928,0.039938964742884234,10,0.2
1,5,0.04192008569948931,0.02856441416618544,0.05252570368320686,0.5201725710456867,10,0.2
0.5,0,-0.0034566790120909,-0.01532767476147106,0.00427093754941166,0.441796704416115,10,0.2
0.5,1,0.01314473401726202,0.00907408341178383,0.01739464538273845,0.1855470041111998,10,0.2
0.5,2,-0.00910872202937965,-0.01405264280371731,-0.00382043670306986,0.23412971399146323,10,0.2
0.5,3,-0.03148107365947533,-0.0370792551519603,-0.02704970592999473,0.2587812469299753,10,0.2
0.5,4,0.00172352209362698,0.00103037671509889,0.00265142382133891,0.03782003157822386,10,0.2
0.5,5,0.01688353292462982,0.00817447558994991,0.02802068245320766,0.4622596090992304,10,0.2
0.2,0,7.4706212432864e-4,-0.00674926433339248,0.00854284349693189,0.4018552672757278,10,0.2
0.2,1,0.00673948930166777,0.00363970147294095,0.01121790354741944,0.18326409923186152,10,0.2
0.2,2,0.00149318274265485,-0.00193449371560532,0.0053026328874683,0.20616339037802478,10,0.2
0.2,3,-0.01782379234393753,-0.02058232803704264,-0.01468462734108743,0.14070295481806408,10,0.2
0.2,4,0.00313124971499797,0.00242095493127542,0.00389454519009639,0.03644461215326293,10,0.2
0.2,5,4.9192484068981e-4,-0.00706430115607245,0.00791015018158781,0.4242620571783142,10,0.2
0.1,0,-0.00574280684158615,-0.01224464071552861,0.0019958232024336,0.37538469467968855,10,0.2
0.1,1,0.00819181321001197,0.00458097493470293,0.01150762991088518,0.18042255980744543,10,0.2
0.1,2,-0.0010410411867409,-0.00471075471043148,0.00253830212446963,0.19794021751981308,10,0.2
0.1,3,-0.00717353266452401,-0.00923028665146687,-0.00556350776442996,0.08751142092216346,10,0.2
0.1,4,0.00368387034881957,0.00305065162869716,0.00445177753776047,0.03597399968691082,10,0.2
0.1,5,0.00759243934956329,0.00113455540740101,0.01507001199845669,0.40034226155568803,10,0.2
0.05,0,-0.0054838899692108,-0.01344153953784816,4.638830134628212e-5,0.3520092106388178,10,0.2
0.05,1,0.0025632878357184,-8.1243303647544e-4,0.00677038067826465,0.1769733840237698,10,0.2
0.05,2,6.2752086374114e-4,-0.00295797951149013,0.00374458760048332,0.19071126244869643,10,0.2
0.05,3,-0.0033494286166963,-0.00454732944011673,-0.00229898612064983,0.05435804784925191,10,0.2
0.05,4,0.00394651223082676,0.00332179352963826,0.0048371542123143,0.03586567241997074,10,0.2
0.05,5,0.00268898072310454,-0.00386916978658317,0.00825577952891386,0.37568710961013607,10,0.2
0.02,0,-0.00747057112239262,-0.01348552858739928,0.00120473181994697,0.3327838892208446,10,0.2
0.02,1,0.00423618465722556,0.00104921629591247,0.0073454606738923,0.1755526173304816,10,0.2
0.02,2,0.00145224097187066,-0.00183911949731391,0.00508160731838177,0.18648490683798202,10,0.2
0.02,3,-0.00109225104757223,-0.00182102228479696,-4.2832967396614e-4,0.030509471312633228,10,0.2
0.02,4,0.00502484632783834,0.00438547992043579,0.00584937869097971,0.03568045913232073,10,0.2
0.02,5,0.00496852522190556,-0.0028819562183852,0.00985289410193535,0.3573357895069874,10,0.2
0.01,0,-0.00636602848337854,-0.01447693140119724,5.9653603811392e-4,0.3219482329857997,10,0.2
0.01,1,0.00243516523077262,-0.001203944556695,0.00685056192340911,0.17392525983781468,10,0.2
0.01,2,7.9070482139509e-4,-0.0031772292521688,0.00419467167566588,0.18308575350099665,10,0.2
0.01,3,-4.9416008753424e-4,-9.7197147982621e-4,-8.51326198346685e-5,0.0205443284521298,10,0.2
0.01,4,0.00519142210919942,0.00453642236454633,0.00590650689922697,0.03572586462178781,10,0.2
0.01,5,0.00331130438862364,-0.00289804700521405,0.01098211436645294,0.34375567865693796,10,0.2
1,0,-0.00676079413617541,-0.0176190222705731,0.00333345027062515,0.5033494531226846,10,0.5
1,1,0.00992828064989579,0.00587308897385516,0.01381785624897154,0.18854993305283302,10,0.5
1,2,-0.00144486249510853,-0.00908181485914703,0.00492871543644007,0.3208144362990411,10,0.5
1,3,-0.03552925637583791,-0.04399010332447091,-0.02757042686824652,0.3921659272949487,10,0.5
1,4,0.00109485517681242,-3.926068480373487e-5,0.0021951937099788,0.0614442374493367,10,0.5
1,5,0.01008868684863017,-5.0121992928498e-4,0.02430961210312225,0.5580224363082017,10,0.5
0.5,0,7.6023267534513e-4,-0.0088788783145801,0.01071369806017838,0.4595478218317584,10,0.5
0.5,1,0.0078700303348763,0.00367382813801468,0.011845799877528,0.19016621231483283,10,0.5
0.5,2,0.00862533022127461,0.00278681442283259,0.01370616137511613,0.26110539310926145,10,0.5
0.5,3,-0.02658996172655772,-0.03152116838276897,-0.0212890402737113,0.2447438208846474,10,0.5
0.5,4,0.00280674656181017,0.00142232094726442,0.00414228025527947,0.05879419145850753,10,0.5
0.5,5,-0.00480887795243947,-0.01603824546767037,0.00599234759329636,0.49768655349385815,10,0.5
0.2,0,0.00315486861737845,-0.00492839993469104,0.01217875689360336,0.43037702204942435,10,0.5
0.2,1,0.00255937072229253,-1.0637610471756e-4,0.00546890111292634,0.18851074397604528,10,0.5
0.2,2,0.00722438750271335,0.00375718735752954,0.01219685227986697,0.23401397632315968,10,0.5
0.2,3,-0.01269099767679551,-0.01547925776382393,-0.0102817531075192,0.13072536720130534,10,0.5
0.2,4,0.00390523347625754,0.00283498706915603,0.00504282744103841,0.05716860262119365,10,0.5
0.2,5,-0.0073172817888457,-0.01718587989728328,0.00107579341310003,0.4647814756843957,10,0.5
0.1,0,0.00142368477103951,-0.00671257038222315,0.01125232452083668,0.4101591393816594,10,0.5
0.1,1,0.00141440730336038,-0.00133663839961791,0.00555379881704287,0.18686922481006982,10,0.5
0.1,2,0.00478606122388239,0.00101619071306968,0.00857546843241889,0.22434014735481023,10,0.5
0.1,3,-0.00363322765203086,-0.00504884089300074,-0.00212275146632683,0.0804684013484359,10,0.5
0.1,4,0.00484739733917669,0.00375476625585241,0.00582899557702303,0.05666291066732947,10,0.5
0.1,5,-0.00380514953487401,-0.01122199472285797,0.00446133914663834,0.4438339938406131,10,0.5
0.05,0,0.00292800093459065,-0.00532778376534528,0.01165443581125619,0.3999728389813719,10,0.5
0.05,1,3.0158193436868e-4,-0.00354351792752945,0.00429233294966221,0.1860405711218239,10,0.5
0.05,2,0.00512990675231072,9.6947084781078e-4,0.00978100296215349,0.21891077905490172,10,0.5
0.05,3,-0.0013758212125904,-0.00270076760154656,-2.902984423225e-4,0.05087634060638334,10,0.5
0.05,4,0.00534229020616378,0.00432007155362435,0.00658409458356726,0.056403964807384334,10,0.5
0.05,5,-0.00503818932388976,-0.01415086233925528,0.00256547885944659,0.4327392915008256,10,0.5
0.02,0,-3.1012261564706e-4,-0.00763674028770732,0.00632052122625424,0.39381063569905167,10,0.5
0.02,1,-1.319736417874e-4,-0.0033791808936135,0.00432138887585649,0.18600419979530658,10,0.5
0.02,2,0.00194586755604295,-0.00247526440515451,0.00577160956729855,0.2152897863948542,10,0.5
0.02,3,-5.4426638495188e-4,-0.00101226210524413,1.359102407135776e-5,0.029493587774448705,10,0.5
