nch,z,interval,mahal,note
100,1000,0.02,0.02595459157171706,
100,1000,0.05,0.0323584889642047,
100,1000,0.1,0.04689758957251269,
100,1000,0.2,0.01956163470171417,
100,1000,0.5,0.01701421436014319,
100,1000,1,0.030418836906539282,
100,10000,0.01,0.012444774920508233,
100,10000,0.02,0.023267760822626382,
100,10000,0.05,0.017029455344368002,
100,10000,0.1,0.019075868775046644,
100,10000,0.2,0.01750459417033832,
100,10000,0.5,0.01390807368135006,
100,10000,1,0.015054580887472042,
100,100000,0.01,0.02036310255382471,
100,100000,0.02,0.03991098971774714,
100,100000,0.05,0.021881850226177006,
100,100000,0.1,0.02705944088278899,
100,100000,0.2,0.0270442513046386,
100,100000,0.5,0.021181908602194845,
100,100000,1,0.0359108415201147,
200,0.05,0.01,0.017013868743601102,
200,0.05,0.02,0.03013875537917334,
200,0.05,0.05,0.025704276151045688,
200,0.05,0.1,0.029402871568627573,
200,0.05,0.2,0.021677125214534243,
200,0.05,0.5,0.023939288315322275,
200,0.05,1,0.03799556183375269,
200,0.1,0.01,0.029617291577316383,
200,0.1,0.02,0.011558200935805748,
200,0.1,0.05,0.01762510803456216,
200,0.1,0.1,0.01720401674662139,
200,0.1,0.2,0.025227581995630185,
200,0.1,0.5,0.0238900137174306,
200,0.1,1,0.017396862702244626,
200,0.2,0.01,0.03448937140937888,
200,0.2,0.02,0.010256221101796933,
200,0.2,0.05,0.03493212748519139,
200,0.2,0.1,0.02031338594811967,
200,0.2,0.2,0.03249057339386209,
200,0.2,0.5,0.025443270262652907,
200,0.2,1,0.025994782756925332,
200,0.5,0.01,0.028179311126218447,
200,0.5,0.02,0.026791710196735537,
200,0.5,0.05,0.023589929099413997,
200,0.5,0.1,0.026687575018152082,
200,0.5,0.2,0.03313218796318074,
200,0.5,0.5,0.020768105677025354,
200,0.5,1,0.01824253776498636,
200,1,0.01,0.020815853163681165,
200,1,0.02,0.03875849896803619,
200,1,0.05,0.032355670022367354,
200,1,0.1,0.01996894865348141,
200,1,0.2,0.0209596183122522,
200,1,0.5,0.02310856608603387,
200,1,1,0.031539205277743065,
200,10,0.01,0.030292479320084532,
200,10,0.02,0.011924267930188968,
200,10,0.05,0.014489987576136999,
200,10,0.1,0.023802214571692078,
200,10,0.2,0.013580692225236937,
200,10,0.5,0.013124866272893793,
200,10,1,0.023387457156796815,
500,0.05,0.01,0.024523990637274583,
500,0.05,0.02,0.02491034448789996,
500,0.05,0.05,0.027529734044652535,
500,0.05,0.1,0.02491714582036933,
500,0.05,0.2,0.021269425585251422,
500,0.05,0.5,0.025218227933136498,
500,0.05,1,0.013213609393930075,
500,0.1,0.01,0.04202089583758935,
500,0.1,0.02,0.0414514510482321,
500,0.1,0.05,0.040318299778739776,
500,0.1,0.1,0.028002575144988478,
500,0.1,0.2,0.02509482132487215,
500,0.1,0.5,0.02550956944582398,
500,0.1,1,0.017693420489023427,
500,0.2,0.01,0.006617691198722621,
500,0.2,0.02,0.019816238937173016,
500,0.2,0.05,0.021366000830894637,
500,0.2,0.1,0.011413425985412251,
500,0.2,0.2,0.027878170300618673,
500,0.2,0.5,0.026236855763644696,
500,0.2,1,0.022960894555508062,
500,0.5,0.01,0.021575486247829997,
500,0.5,0.02,0.01883366249614107,
500,0.5,0.05,0.019807610319745806,
500,0.5,0.1,0.02347520264332005,
500,0.5,0.2,0.013576456846377885,
500,0.5,0.5,0.020739738602044137,
500,0.5,1,0.03235929683538489,
500,1,0.01,0.02201614038037233,
500,1,0.02,0.030060409906218565,
500,1,0.05,0.018484617454122287,
500,1,0.1,0.014760578432494807,
500,1,0.2,0.01695085195258101,
500,1,0.5,0.015216457941446972,
500,1,1,0.020749926000373755,
500,10,0.01,0.023866669366118417,
500,10,0.02,0.02746052738443857,
500,10,0.05,0.024898059357867208,
500,10,0.1,0.03441569466565081,
500,10,0.2,0.032370484325178674,
500,10,0.5,0.019661482470818163,
500,10,1,0.018512131138612237,
1000,0.05,0.01,0.042954024726276116,
1000,0.05,0.02,0.01907712746879848,
1000,0.05,0.05,0.020296905957141738,
1000,0.05,0.1,0.028136705515416905,
1000,0.05,0.2,0.020724706689876058,
1000,0.05,0.5,0.024342039798944025,
1000,0.05,1,0.03187389169796168,
1000,0.1,0.01,0.026381286153093583,
1000,0.1,0.02,0.022431327169316628,
1000,0.1,0.05,0.022247680424801276,
1000,0.1,0.1,0.02660851125732217,
1000,0.1,0.2,0.025422731408068163,
1000,0.1,0.5,0.02463700942132361,
1000,0.1,1,0.030592126492416664,
1000,0.2,0.01,0.04396486608790464,
1000,0.2,0.02,0.0159722134542285,
1000,0.2,0.05,0.017581792696355656,
1000,0.2,0.1,0.01362543712810102,
1000,0.2,0.2,0.05371499158913784,
1000,0.2,0.5,0.014634636377180448,
1000,0.2,1,0.03432896068780437,
1000,0.5,0.01,0.02548509116895054,
1000,0.5,0.02,0.02731062006847414,
1000,0.5,0.05,0.023184593089361133,
1000,0.5,0.1,0.019608206984842072,
1000,0.5,0.2,0.017649746345131865,
1000,0.5,0.5,0.022170479673509963,
1000,0.5,1,0.02113939078456898,
1000,1,0.01,0.029205283001027326,
1000,1,0.02,0.020560943517969093,
1000,1,0.05,0.01908728452707028,
1000,1,0.1,0.018272619211188727,
1000,1,0.2,0.03105390274197619,
1000,1,0.5,0.03161713609752689,
1000,1,1,0.03241978209182444,
1000,10,0.01,0.02225849927505923,
1000,10,0.02,0.024892103061983757,
1000,10,0.05,0.02148573787569616,
1000,10,0.1,0.020621510998364137,
1000,10,0.2,0.02519647788899809,
1000,10,0.5,0.02621631039965018,
1000,10,1,0.031240948943381554,
1000,100,0.01,0.020339385728829443,
1000,100,0.02,0.019858866303781718,
1000,100,0.05,0.027784829149050123,
1000,100,0.1,0.032446012504473674,
1000,100,0.2,0.019112430814528736,
1000,100,0.5,0.018676992425922034,
1000,100,1,0.01809364863584617,
1000,1000,0.01,0.03261594790740049,
1000,1000,0.02,0.01484861878258099,
1000,1000,0.05,0.01663266026001901,
1000,1000,0.1,0.02143140130736133,
1000,1000,0.2,0.02637733106077315,
1000,1000,0.5,0.01801672416928398,
1000,1000,1,0.030093116548516218,
1000,10000,0.01,0.025033961054018852,
1000,10000,0.02,0.022687849800666498,
1000,10000,0.05,0.02050099390488517,
1000,10000,0.1,0.021394183520202184,
1000,10000,0.2,0.025204508214696227,
1000,10000,0.5,0.024687166197665658,
1000,10000,1,0.01029222101696193,
1000,100000,0.01,0.02413192468471391,
1000,100000,0.02,0.012600854290322976,
1000,100000,0.05,0.037961894324776396,
1000,100000,0.1,0.03151350930853659,
1000,100000,0.2,0.021325888797317404,
1000,100000,0.5,0.012197575372553006,
1000,100000,1,0.03437498663777437,
1000,1000000,0.01,0.016391958637959295,
1000,1000000,0.02,0.018455077551944466,
1000,1000000,0.05,0.024848066574331848,
1000,1000000,0.1,0.018215371640431226,
1000,1000000,0.2,0.02161184598574865,
1000,1000000,0.5,0.02471345519997384,
1000,1000000,1,0.03378973677182246,
2000,0.05,0.01,0.02471427709545215,
2000,0.05,0.02,0.03361548744292468,
2000,0.05,0.05,0.01850415487392387,
2000,0.05,0.1,0.00648903580367644,
2000,0.05,0.2,0.03879270141513855,
2000,0.05,0.5,0.020431935218312883,
2000,0.05,1,0.02504897564575436,
2000,0.1,0.01,0.022837928886523307,
2000,0.1,0.02,0.01809612440687541,
2000,0.1,0.05,0.0348960734733578,
2000,0.1,0.1,0.018083705557733313,
2000,0.1,0.2,0.016120588464807413,
2000,0.1,0.5,0.008844426864129803,
2000,0.1,1,0.018093443664895067,
2000,0.2,0.01,0.029112178953325116,
2000,0.2,0.02,0.02368014823830181,
2000,0.2,0.05,0.028202541969965626,
2000,0.2,0.1,0.01604010298095905,
2000,0.2,0.2,0.0253182430172798,
2000,0.2,0.5,0.018011802270984083,
2000,0.2,1,0.013472017339468614,
2000,0.5,0.01,0.02367806860643978,
2000,0.5,0.02,0.030357388363412875,
2000,0.5,0.05,0.02278507580684839,
2000,0.5,0.1,0.031316404493981924,
2000,0.5,0.2,0.045854156477513876,
2000,0.5,0.5,0.01930557103083799,
2000,0.5,1,0.029632268717947104,
2000,1,0.01,0.025537199615953944,
2000,1,0.02,0.030281228656138935,
2000,1,0.05,0.02257568638274108,
2000,1,0.1,0.019104094324367847,
2000,1,0.2,0.02141095864728195,
2000,1,0.5,0.024363620271082607,
2000,1,1,0.028049243245926683,
2000,10,0.01,0.022053987249028784,
2000,10,0.02,0.03418900068857834,
2000,10,0.05,0.02092914123444147,
2000,10,0.1,0.015922451679935126,
2000,10,0.2,0.018452596360142275,
2000,10,0.5,0.02311692055635989,
2000,10,1,0.027766276449472414,
5000,0.05,0.01,0.02252182240634437,
5000,0.05,0.02,0.014815971575431866,
5000,0.05,0.05,0.023354704998970834,
5000,0.05,0.1,0.023964578318043907,
5000,0.05,0.2,0.027644190680954153,
5000,0.05,0.5,0.029790168919743665,
5000,0.05,1,0.024645800940819113,
5000,0.1,0.01,0.014629388466584068,
5000,0.1,0.02,0.02434901540123943,
5000,0.1,0.05,0.024528154117954466,
5000,0.1,0.1,0.01827157597669369,
5000,0.1,0.2,0.011428163544106263,
5000,0.1,0.5,0.029894942228230786,
5000,0.1,1,0.01805687376622029,
5000,0.2,0.01,0.021578755025665353,
5000,0.2,0.02,0.023782652969285546,
5000,0.2,0.05,0.014778995653342447,
5000,0.2,0.1,0.024327829869034947,
5000,0.2,0.2,0.04307878805220998,
5000,0.2,0.5,0.024989537716296056,
5000,0.2,1,0.04188225996241112,
5000,0.5,0.01,0.01834318170662034,
5000,0.5,0.02,0.02630723497490857,
5000,0.5,0.05,0.020561545007911883,
5000,0.5,0.1,0.021904743209817445,
5000,0.5,0.2,0.018286901501197106,
5000,0.5,0.5,0.017674876705419566,
5000,0.5,1,0.03485648134924517,
5000,1,0.01,0.011374847666482167,
5000,1,0.02,0.020468233845682613,
5000,1,0.05,0.0385571318998768,
5000,1,0.1,0.01920566613679368,
5000,1,0.2,0.02061091160067429,
5000,1,0.5,0.02123688655326667,
5000,1,1,0.017084853841566144,
5000,10,0.01,0.022456314715456244,
5000,10,0.02,0.025649850006491608,
5000,10,0.05,0.029054618793269253,
5000,10,0.1,0.014645260251304094,
5000,10,0.2,0.026228426666027996,
5000,10,0.5,0.022048910293382337,
5000,10,1,0.0314307032509115,
10000,0.05,0.01,0.021940169896177295,
10000,0.05,0.02,0.022778984760579518,
10000,0.05,0.05,0.022244932028106054,
10000,0.05,0.1,0.04262419479830887,
10000,0.05,0.2,0.02526392363075431,
10000,0.05,0.5,0.019738789694760565,
10000,0.05,1,0.018488048254032,
10000,0.1,0.01,0.024477242394965282,
10000,0.1,0.02,0.025045898878235922,
10000,0.1,0.05,0.02746377923202729,
