i_step,time,i_sub_step,number_of_samples,ATP_concentration
271,242.57965,0,685.0,0.0
272,242.59335,0,685.0,0.0
273,242.60704,0,684.0,0.0
274,242.62073,0,685.0,0.0
275,242.634430000001,0,685.0,0.0
276,242.648130000001,0,685.0,0.0
277,242.661820000001,0,684.0,0.0
278,242.675510000001,0,685.0,0.0
279,242.689210000001,0,685.0,0.0
280,242.702910000001,0,685.0,0.0
281,242.716610000001,0,685.0,0.0
282,242.730300000001,0,684.0,0.0
283,242.743990000001,0,685.0,0.0
284,242.757690000001,0,685.0,0.0
285,242.771390000001,0,685.0,0.0
286,242.785080000001,0,684.0,0.0
287,242.798770000001,0,685.0,0.0
288,242.812470000001,0,685.0,0.0
289,242.826170000001,0,685.0,0.0
290,242.839870000001,0,685.0,0.0
291,242.853560000001,0,684.0,0.0
292,242.867250000001,0,685.0,0.0
293,242.880950000001,0,685.0,0.0
294,242.894650000001,0,685.0,0.0
295,242.908340000001,0,684.0,0.0
296,242.922030000001,0,685.0,0.0
297,242.935730000001,0,685.0,0.0
298,242.949430000001,0,685.0,0.0
299,242.963130000001,0,685.0,0.0
300,242.976820000001,0,684.0,0.0
301,242.990510000001,0,685.0,0.0
302,243.004210000001,0,685.0,0.0
303,243.017910000001,0,685.0,0.0
304,243.031610000001,0,685.0,0.0
305,243.045300000001,0,684.0,0.0
306,243.058990000001,0,685.0,0.0
307,243.072690000001,0,685.0,0.0
308,243.086390000001,0,685.0,0.0
309,243.100080000001,0,684.0,0.0
310,243.113770000001,0,685.0,0.0
311,243.127470000001,0,685.0,0.0
312,243.141170000001,0,685.0,0.0
313,243.154870000001,0,685.0,0.0
314,243.168560000001,0,684.0,0.0
315,243.182250000001,0,685.0,0.0
316,243.195950000001,0,685.0,0.0
317,243.209650000001,0,685.0,0.0
318,243.223340000001,0,684.0,0.0
319,243.237030000001,0,685.0,0.0
320,243.250730000001,0,685.0,0.0
321,243.25763000000103,0,5.0,0.0
322,243.257730000001,0,5.0,0.0
323,243.257810000001,0,2.115257097014114,0.0
323,243.257850000001,1,2.884742902985886,457.270692283372
324,243.25793000000098,0,5.0,457.27069228337206
325,243.258000000001,0,1.5412935677719144,457.270692283372
325,243.25804000000102,1,3.4587064322280856,0.0
326,243.258127500001,0,5.0,0.0
327,243.258232000001,0,6.0,0.0
328,243.258345000001,0,5.0,0.0
329,243.258465000001,0,7.0,0.0
330,243.258590000001,0,5.0,0.0
331,243.258710000001,0,7.0,0.0
332,243.258860000001,0,8.0,0.0
333,243.259040000001,0,10.0,0.0
334,243.259270000001,0,13.0,0.0
335,243.259560000001,0,16.0,0.0
336,243.259930000001,0,21.0,0.0
337,243.260400000001,0,26.0,0.0
338,243.260980000001,0,32.0,0.0
339,243.261720000001,0,42.0,0.0
340,243.262650000001,0,51.0,0.0
341,243.263810000001,0,65.0,0.0
342,243.265280000001,0,82.0,0.0
343,243.267130000001,0,103.0,0.0
344,243.269460000001,0,130.0,0.0
